n,action_estimate
1.000000000000000000e+00,-2.249999999999999556e+00
2.000000000000000000e+00,-1.499999999999999556e+00
3.000000000000000000e+00,-1.349999999999999423e+00
4.000000000000000000e+00,-1.285714285714285143e+00
5.000000000000000000e+00,-1.249999999999999778e+00
6.000000000000000000e+00,-1.227272727272728181e+00
7.000000000000000000e+00,-1.211538461538460565e+00
8.000000000000000000e+00,-1.200000000000002176e+00
9.000000000000000000e+00,-1.191176470588232617e+00
1.000000000000000000e+01,-1.184210526315790046e+00
1.100000000000000000e+01,-1.178571428571425495e+00
1.200000000000000000e+01,-1.173913043478259421e+00
1.300000000000000000e+01,-1.170000000000004370e+00
1.400000000000000000e+01,-1.166666666666660745e+00
1.500000000000000000e+01,-1.163793103448282018e+00
1.600000000000000000e+01,-1.161290322580640355e+00
1.700000000000000000e+01,-1.159090909090899846e+00
1.800000000000000000e+01,-1.157142857142874792e+00
1.900000000000000000e+01,-1.155405405405402597e+00
2.000000000000000000e+01,-1.153846153846147304e+00
2.100000000000000000e+01,-1.152439024390249589e+00
2.200000000000000000e+01,-1.151162790697665139e+00
2.300000000000000000e+01,-1.150000000000008793e+00
2.400000000000000000e+01,-1.148936170212751406e+00
2.500000000000000000e+01,-1.147959183673495920e+00
2.600000000000000000e+01,-1.147058823529393479e+00
2.700000000000000000e+01,-1.146226415094335538e+00
2.800000000000000000e+01,-1.145454545454562822e+00
2.900000000000000000e+01,-1.144736842105246399e+00
