T,rho_caustic,p_caustic
6.999999999999999556e-01,1.188042334446144481e-02,-1.849324634935187817e+01
8.249999999999999556e-01,1.850960507774392430e-02,-1.592832239664122795e+01
9.499999999999999556e-01,2.643447266605068735e-02,-1.407352436793823713e+01
1.074999999999999956e+00,3.557859225513791690e-02,-1.268167040773832177e+01
1.199999999999999956e+00,4.588029593337027839e-02,-1.160878189943539063e+01
1.324999999999999956e+00,5.728649978923474467e-02,-1.076539489863360188e+01
1.449999999999999956e+00,6.974870202745596381e-02,-1.009306055463378904e+01
1.574999999999999956e+00,8.322045901507935106e-02,-9.552040397241375658e+00
1.699999999999999956e+00,9.765587405641987240e-02,-9.114434286588741330e+00
1.824999999999999956e+00,1.130087801603085751e-01,-8.760136259703161343e+00
1.949999999999999956e+00,1.292323926609101337e-01,-8.474349361988330998e+00
2.075000000000000178e+00,1.462792713977515979e-01,-8.246002172675810371e+00
2.200000000000000178e+00,1.641014770436546311e-01,-8.066708619758225396e+00
2.325000000000000178e+00,1.826508387909368258e-01,-7.930066969813093891e+00
2.450000000000000178e+00,2.018792748566956841e-01,-7.831177347244303810e+00
2.575000000000000178e+00,2.217391254889394536e-01,-7.766304169209413466e+00
2.700000000000000178e+00,2.421834718397493924e-01,-7.732637353595523955e+00
2.825000000000000178e+00,2.631664242457726344e-01,-7.728122734425622475e+00
2.950000000000000178e+00,2.846433708816581420e-01,-7.751342434190481967e+00
3.075000000000000178e+00,3.065711830277484395e-01,-7.801432563117411512e+00
3.200000000000000178e+00,3.289083768063334468e-01,-7.878030013937709519e+00
