T,rho,p0,p1,pole1,pole2,delta_real,delta_imag,stokes_angle
6.999999999999999556e-01,-9.000000000000000222e-01,-3.590610103026843358e+00,-1.015709995999718451e+01,-7.874748345304094954e+00,-3.777619011669839466e+01,4.396546837871763813e+00,2.482246047280824541e+00,5.139756409194864428e-01
6.999999999999999556e-01,-8.709523809523809224e-01,-3.634233432438403355e+00,-1.028143064054388667e+01,-7.963297162894343195e+00,-3.600170803289865518e+01,4.378886871840217410e+00,2.482246047280824097e+00,5.157005623745665179e-01
6.999999999999999556e-01,-8.419047619047619335e-01,-3.679063789796701123e+00,-1.040940172898310934e+01,-8.054196971822378259e+00,-3.463138458306187317e+01,4.360945942083408688e+00,2.482246047280824541e+00,5.174637423765130473e-01
6.999999999999999556e-01,-8.128571428571428337e-01,-3.725154686294747108e+00,-1.054119172296926266e+01,-8.147548608001297765e+00,-3.354070066192865340e+01,4.342714219563934996e+00,2.482246047280824097e+00,5.192667613068736587e-01
6.999999999999999556e-01,-7.838095238095238448e-01,-3.772562931957114785e+00,-1.067699209408715966e+01,-8.243458947899524603e+00,-3.265425407390537060e+01,4.324181291923795634e+00,2.482246047280824097e+00,5.211113006718860463e-01
6.999999999999999556e-01,-7.547619047619047450e-01,-3.821348898148039464e+00,-1.081700861648190504e+01,-8.342041376855378942e+00,-3.192319538309510207e+01,4.305336110893431822e+00,2.482246047280824097e+00,5.229991523609127668e-01
6.999999999999999556e-01,-7.257142857142857562e-01,-3.871576805848360614e+00,-1.096146288361007848e+01,-8.443416302257480410e+00,-3.131423539880916707e+01,4.286166932971483767e+00,2.482246047280824097e+00,5.249322290646426525e-01
6.999999999999999556e-01,-6.966666666666666563e-01,-3.923315042122674789e+00,-1.111059404387831151e+01,-8.547711716715129526e+00,-3.080378091761982517e+01,4.266661252217128109e+00,2.482246047280824097e+00,5.269125760452950669e-01
6.999999999999999556e-01,-6.676190476190476675e-01,-3.976636509560177224e+00,-1.126466080356492228e+01,-8.655063817052518260e+00,-3.037458096821745457e+01,4.246805723740284755e+00,2.482246047280824541e+00,5.289423844919978190e-01
6.999999999999999556e-01,-6.385714285714285676e-01,-4.031619011146220011e+00,-1.142394374912251998e+01,-8.765617685754770960e+00,-3.001370012776956742e+01,4.226586076148019622e+00,2.482246047280824541e+00,5.310240067462848046e-01
6.999999999999999556e-01,-6.095238095238095788e-01,-4.088345675857140371e+00,-1.158874805973329991e+01,-8.879528042413893374e+00,-2.971123766449786530e+01,4.205987010784262736e+00,2.482246047280823653e+00,5.331599737488660340e-01
6.999999999999999556e-01,-5.804761904761904789e-01,-4.146905430052829189e+00,-1.175940669872110078e+01,-8.996960073794671331e+00,-2.945948740817462763e+01,4.184992085051864485e+00,2.482246047280824097e+00,5.353530151443046670e-01
6.999999999999999556e-01,-5.514285714285713791e-01,-4.207393519818358740e+00,-1.193628420050955619e+01,-9.118090352380052721e+00,-2.925236921156714232e+01,4.163583576384615625e+00,2.482246047280824097e+00,5.376060825918856922e-01
6.999999999999999556e-01,-5.223809523809523903e-01,-4.269912092265685466e+00,-1.211978120641953893e+01,-9.243107854708721760e+00,-2.908503385029410637e+01,4.141742322475049143e+00,2.482246047280824541e+00,5.399223769786389848e-01
6.999999999999999556e-01,-4.933333333333333459e-01,-4.334570841903383709e+00,-1.231033995357629429e+01,-9.372215092511689605e+00,-2.895358214199424296e+01,4.119447532064488549e+00,2.482246047280824541e+00,5.423053804283999302e-01
6.999999999999999556e-01,-4.642857142857143016e-01,-4.401487732849654222e+00,-1.250845099645802350e+01,-9.505629371644159775e+00,-2.885486133956553800e+01,4.096676558819458691e+00,2.482246047280824097e+00,5.447588942701128145e-01
6.999999999999999556e-01,-4.352380952380952572e-01,-4.470789805349802748e+00,-1.271466154634221724e+01,-9.643584196148497156e+00,-2.878631506847451149e+01,4.073404628333301858e+00,2.482246047280824541e+00,5.472870845010765484e-01
6.999999999999999556e-01,-4.061904761904762129e-01,-4.542614080657219056e+00,-1.292958597588855874e+01,-9.786330837545117234e+00,-2.874587117398288072e+01,4.049604504762271517e+00,2.482246047280824097e+00,5.498945368055666583e-01
6.999999999999999556e-01,-3.771428571428571130e-01,-4.617108576832426259e+00,-1.315391927488465562e+01,-9.934140092716623016e+00,-2.873185694530145184e+01,4.025246078489596258e+00,2.482246047280824097e+00,5.525863239436457075e-01
6.999999999999999556e-01,-3.480952380952381242e-01,-4.694433452465222700e+00,-1.338845462842715150e+01,-1.008730425763316596e+01,-2.874293448088461389e+01,4.000295848623760975e+00,2.482246047280824097e+00,5.553680894346874064e-01
6.999999999999999556e-01,-3.190476190476190244e-01,-4.774762298155625473e+00,-1.363410689813775356e+01,-1.024613934879491772e+01,-2.877805113912390311e+01,3.974716262589550020e+00,2.482246047280824097e+00,5.582461531354263595e-01
6.999999999999999556e-01,-2.900000000000000355e-01,-4.858283597808263465e+00,-1.389194481312658702e+01,-1.041098760980443494e+01,-2.883640149143174725e+01,3.948464856965538505e+00,2.482246047280824097e+00,5.612276469176176175e-01
6.999999999999999556e-01,-2.609523809523809357e-01,-4.945202386987453735e+00,-1.416323646073024811e+01,-1.058222034713072368e+01,-2.891739820945535300e+01,3.921493114349775766e+00,2.482246047280824097e+00,5.643206928428790015e-01
6.999999999999999556e-01,-2.319047619047619468e-01,-5.035742140159597646e+00,-1.444951591334344521e+01,-1.076024114714353352e+01,-2.902065003105501262e+01,3.893744901441777095e+00,2.482246047280824097e+00,5.675346432541985564e-01
6.999999999999999556e-01,-2.028571428571428470e-01,-5.130146925192049068e+00,-1.475268509219391433e+01,-1.094548953620186893e+01,-2.914594546077494286e+01,3.865154265729361605e+00,2.482246047280824097e+00,5.708804145352652792e-01
6.999999999999999556e-01,-1.738095238095238582e-01,-5.228683869915918159e+00,-1.507517787699513434e+01,-1.113844515738169250e+01,-2.929324123463889151e+01,3.835642203578707665e+00,2.482246047280824097e+00,5.743709692205324346e-01
