n,d_n_real,d_n_imag
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.792644914122174860e-01,-7.906090588201910588e-161
2.000000000000000000e+00,-6.557981877947161205e-03,-3.138580264428457285e-161
3.000000000000000000e+00,1.148511040867790101e-01,4.418357358962061250e-163
4.000000000000000000e+00,2.243186851869996001e-01,-6.562193137851624712e-161
5.000000000000000000e+00,4.934731246128986615e-01,-1.326312431254588290e-160
6.000000000000000000e+00,1.886122055814446030e+00,-3.880524689671951406e-160
7.000000000000000000e+00,7.254853826629747537e+00,-1.775842526174508918e-159
8.000000000000000000e+00,3.382585918420173954e+01,-7.778299865745188220e-159
9.000000000000000000e+00,1.809367779135919534e+02,-4.147536398225644428e-158
