scan,value,delta_real,delta_imag
0.000000000000000000e+00,5.000000000000000000e-01,6.126759901973097833e+00,2.482246047280824097e+00
0.000000000000000000e+00,6.666666666666666297e-01,4.505886793122393819e+00,2.482246047280824097e+00
0.000000000000000000e+00,8.333333333333332593e-01,3.495829779998663511e+00,2.482246047280824097e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.792240162466840481e+00,2.482246047280824097e+00
0.000000000000000000e+00,1.166666666666666519e+00,2.264464058479277675e+00,2.482246047280824097e+00
0.000000000000000000e+00,1.333333333333333259e+00,1.847027866354759462e+00,2.482246047280824097e+00
0.000000000000000000e+00,1.500000000000000000e+00,1.503457095625970963e+00,2.482246047280824097e+00
0.000000000000000000e+00,1.666666666666666519e+00,1.211797530523664346e+00,2.482246047280824097e+00
0.000000000000000000e+00,1.833333333333333259e+00,9.580296171770884550e-01,2.482246047280824097e+00
0.000000000000000000e+00,2.000000000000000000e+00,7.327726512589434194e-01,2.482246047280824097e+00
0.000000000000000000e+00,2.166666666666666519e+00,5.295079798527922987e-01,2.482246047280824097e+00
0.000000000000000000e+00,2.333333333333333037e+00,3.435621571556180531e-01,2.482246047280824097e+00
0.000000000000000000e+00,2.500000000000000000e+00,1.714957258194699241e-01,2.482246047280824097e+00
0.000000000000000000e+00,2.666666666666666519e+00,1.072039179850278051e-02,2.482246047280824097e+00
0.000000000000000000e+00,2.833333333333333037e+00,-1.407492838099647370e-01,2.482246047280824097e+00
0.000000000000000000e+00,3.000000000000000000e+00,-2.844618639307543995e-01,2.482246047280824097e+00
0.000000000000000000e+00,3.166666666666666519e+00,-4.216429250623754954e-01,2.482246047280824097e+00
0.000000000000000000e+00,3.333333333333333037e+00,-5.532750196870718229e-01,2.482246047280824097e+00
0.000000000000000000e+00,3.500000000000000000e+00,-6.801549691477901671e-01,2.482246047280824097e+00
0.000000000000000000e+00,3.666666666666666519e+00,-8.029356616313537698e-01,2.482246047280824097e+00
0.000000000000000000e+00,3.833333333333333037e+00,-9.221570424681626577e-01,2.482246047280824097e+00
0.000000000000000000e+00,4.000000000000000000e+00,-1.038269427674531009e+00,2.482246047280824097e+00
1.000000000000000000e+00,5.000000000000000000e-01,3.065815813845610194e+00,6.205615118202060243e-01
1.000000000000000000e+00,8.095238095238095344e-01,3.061291232501195836e+00,1.004718638185095436e+00
1.000000000000000000e+00,1.119047619047619069e+00,3.028683508240580302e+00,1.388875764549984959e+00
1.000000000000000000e+00,1.428571428571428603e+00,2.969248215703162330e+00,1.773032890914874482e+00
1.000000000000000000e+00,1.738095238095238138e+00,2.883979058929855732e+00,2.157190017279763783e+00
1.000000000000000000e+00,2.047619047619047450e+00,2.773665560992708556e+00,2.541347143644653084e+00
1.000000000000000000e+00,2.357142857142857206e+00,2.638936826235580124e+00,2.925504270009542829e+00
1.000000000000000000e+00,2.666666666666666963e+00,2.480295138619713402e+00,3.309661396374433018e+00
1.000000000000000000e+00,2.976190476190476275e+00,2.298142025925971055e+00,3.693818522739321875e+00
1.000000000000000000e+00,3.285714285714285587e+00,2.092798655537218444e+00,4.077975649104211620e+00
1.000000000000000000e+00,3.595238095238095344e+00,1.864521907773155407e+00,4.462132775469100920e+00
1.000000000000000000e+00,3.904761904761905100e+00,1.613517114406443520e+00,4.846289901833990221e+00
1.000000000000000000e+00,4.214285714285714413e+00,1.339948198952481073e+00,5.230447028198879522e+00
1.000000000000000000e+00,4.523809523809523725e+00,1.043945776366552280e+00,5.614604154563769711e+00
1.000000000000000000e+00,4.833333333333333925e+00,7.256136398922450326e-01,5.998761280928659900e+00
1.000000000000000000e+00,5.142857142857143238e+00,3.850339668531269077e-01,6.382918407293548313e+00
1.000000000000000000e+00,5.452380952380952550e+00,2.227150311670087965e-02,6.767075533658437614e+00
1.000000000000000000e+00,5.761904761904761862e+00,-3.626230689724498357e-01,7.151232660023326915e+00
1.000000000000000000e+00,6.071428571428571175e+00,-7.696104168076144392e-01,7.535389786388216216e+00
1.000000000000000000e+00,6.380952380952381375e+00,-1.198660368598901238e+00,7.919546912753106405e+00
1.000000000000000000e+00,6.690476190476190688e+00,-1.649750146080215751e+00,8.303704039117995706e+00
1.000000000000000000e+00,7.000000000000000000e+00,-2.122862936239943377e+00,8.687861165482884118e+00
