n,bw_n
0,1.0
1,-2.53374359943626442629604309474366278857996840593983409182780551735532797562859508636759742843280457910564901449909993432
2,2.48383182426269494302055378049699079634641150905297881442504421779384327194087638096225412781925606837957800698398250067
3,-2.56405830481358399274467234740009588967727295381998452944154014271167604318598075883568239784019348995975530943297292298
4,2.46277383335969169817130520728017181480925275523263865369633914213130584892519323579464198520359172503421525569142501667
5,-2.56027273887797751952503735873961063375236981024728150602729550354246507087538011371580119817515415833916495764637061789
6,2.52477873509312010643282912475633330962247269604097760446455694852581582583089694434280648677787465428507756259131657741
7,-2.37359608298983058998262088665624830137216581465027898697897775879560265389257854658120322996152941083802891437271178912
8,2.9618996848515979392351600752268892819386442656844603599509411415220967493724364157524889714950562433602800416172747239
9,-1.4573555585575005870361826843968801841413717595519906847303520216261834434389398017405299632586438773302393914551341988
10,4.75851504800732274617703827409824814767405027238093133821111347664493863373794005482491655256027031025957052884171485354
11,1.89988099234789374523709773221546008678605588497056373562324990210714211751156288997086744106745863295901462148548149473
12,10.7886194678424013897470383022706624291928314946123841319033731601019887145797263840293135039857313110221637333400574694
13,12.348197315108881399773310982699774684032379198919173835349783702386994916179319880596639459777857221241562408261473224
14,28.2579912487748444440847230061198813574247560413170380800986780597363107730496445109618732390647657336968373706870388903
15,40.4575527136209654421815276509890268302669580133784912486175440885696161010751555850659871445012272991357968136034873772
16,71.5059980587937148153974859522338067157420537816345911439610820080063621105602326938972611024309556610753773524740853116
17,103.279602834528035697587384904725976551750994714175886728770585341472058568545916697411087159382991312812584306176751414
18,155.473221782836891526446670130671674683731155383872206861051568403592070960463572686072393392199979763159531489609331084
19,200.406031376014583549871911081282336264641334759634920681765636691068604586827841420999997007249889886868800013360472828
20,233.884980673148593781585668006524904819771362403774796862034136512100241515998842357851578094179972387515394913880665984
21,175.774498926365919676809984532747510672040271250368051367302269195746288969472052651011825982958917842584933120064555709
22,-84.488628483282015750835004714465291188233247243795119156857178289494031625431223804610486632389701797982084827042522592
23,-830.490812777076524352172319515546643337989781224361805015560505529600433840034749462836461346200868681789515537637115993
24,-2543.39259973368424611775418340835081818663742122664921938658759297792984290871322250654057608907938610808962271613764217
25,-6151.96597939707382217226542712540320431591389105750593312188455351676055705490517965575764624379526507904472724444299801
26,-13209.8239997621236335722329976214370257972412247652772070016936173093791159254759916990031610441750534016270849865315436
27,-26337.8707873120166484090756044381282532397863836163513807023592894106639017656465370384864773321548183144379630813163957
28,-49590.1995269679127392572277515021764415436001478176471095209770900556147482543373365430681064230222443447402658924966742
29,-88948.604803383516855214976996725834934640433345342585926997488696079235273724649130965457549240652388595278500265624958
30,-152281.095259923987461256921554391279530883368759308480611176509208638883981249471674016363339764655349385334570485518254
31,-248270.135560900430829491077157229745933008979435260859952460363662805396116478227096846780828854672288997626049376402992
32,-382240.32280675785029122370309857553127441260940633273283354915200012630560849647954198790137416822104465225606927830823
33,-545725.287727206092804568865776631236049308901527206757793168396539333104066057316126318325462813599962485320697283537902
34,-692897.18582603303315635350620047577959233848225839486978621420401687522084105619701998630475826124331383834373972612702
35,-692450.202524300622948551449917740001149593046429975174321069256458759179734767179919753711373846973767005045389389971611
36,-234640.231261237260191290802358526373394376122232798000078695960056361169120135374540242934168066817960136377178102759849
37,1338404.14841193283058613142480762144991781840191347073619453735646502310567865288081964721810708172990648225031380357822
38,5327968.25135631376105549635717763851481623631707402567700314771780350805957443386053834861931300043197362412752101635024
39,14165801.1470662524070431928327916162708800502295980062111429723137557403418860481022725349489230014635943889879278637572
40,32170144.7391335629391857545847996376716452639757320334394405819675239189399773810401493330274765575211898751688678760864
41,66626310.0869865388696044189746959056415374360545683455967584798886827176412564386118765119269814180724667249233115863992
42,129141489.033491079384076743743749146533961504300432984713505811830191705617891101502205292767087611732060471164159290268
43,236918285.802370148092470149296932582782278859074961837754055181789078982540976429922229909619085693253402507989066707689
44,412869876.253956213136720542716096959130636603064939256090514982020663712470832545939220682647615913559254666429892317742
45,681952577.2753038352787560659318222056372322589721267066888898197052233922758463800802359409857990250929008856971110427
46,1058005216.35329398922005818552100133914586140267244222800969245621661434952360943221309992694690669328549633636282413889
47,1509557986.99419146944689586694842843926008784493237140622362724925472888638793004824561187365293777966079721695819650527
48,1882620015.30156077555880478820722702615543609602219634914865127546226729405491824999176717360383911647883374810998511064
49,1740619023.2348268980453013499068715040769574648107097598720133927963754400427506472646021592766779541200316429104446609
50,52899169.1439061262563144098509205162017434668778615413983475405325176482863454459874549685846942948148693154411036915224
51,-5380077104.85014229265865848408324293228611068499889390258346015084463296461831790726372084418927272409831406685081709482
52,-18935426422.3163474462568835187021152352550998897689734036736842259828573294278911962078693859630600357943270728146063166
53,-48847266438.8553676558669182781063343757640173247723538959553271648654305618251099193558887751568745658812413712791828335
54,-109835985001.523016926844314961130637826942521089414178706900399351025135237006400031336804363040781561726998558013599979
55,-226900548372.249709934049484781730046783278431517716613272610066581385818213295509049336944876501537045801449548348384194
56,-440118448590.124557071184332534476402745916462876956212381970259911764549842598244397294817241698143118264617362974389308
57,-809216781001.020071302660799452434015567058591270800995858476623646376420421961893373835296403531174472176712006737975712
58,-1414074517559.75119813383945518951784028564454863207272486634652981874453972585741945889151845087804336900203993270042284
59,-2341673686941.49777675706431920128677024160136878037116165583615726628955707341418900484052712644041721446509473503085336
60,-3638632505547.1459107523405665796268935636866465420919756471739542881212246859893012357461431167839751078238793076773745
61,-5186745375016.48129699153940532625233411340563419349567253445839726057130310009214158435254610415925736628637706122865048
62,-6419593346461.75202060017136925612320699424628233372578982849925310681560413067611543966371572011744880266285516638470413
63,-5730379123534.57569971494467667759334940589280763327098531046728152454500758612166899770681817705072149439336427160758684
64,689818146174.316981461659236678432545746227380946736884174920366625190855180675124372220534882286773175983455478354830655
65,21013771793885.4404655085110724523467936918363942525298296091031377942944775513325604663079527690482236035174071429500293
66,71606145942459.7913852691647841050436903496979058877089773184529412914145208497181227218249338076411449510175175695432156
67,183462697380356.268675325382307121489884970691420098531733366597905113693957532303317852924436766213460882616241695848362
68,412418063109345.808976684923662791369410747112388294865889564295990164678808469596253050583881198436511107364391752196009
69,854121002658504.63655436464790589442950968487662430024514015322258450969210928990014770901170635958597912466366113699501
70,1663525039737041.12506299495753331847071872797690867836584354681499737651934604039379806531568840444403914013319944870253
71,3074752680577500.8068462387508712546457800283530923317889359407049677416147345264387312182222142011589830711080342113934
72,5407565062332383.88370205421727296200823231477474138869445787450440630985703518824186060632551581316975638472064210684027
73,9025432732061812.2225362497896643523929027866861321323948504505007990490669798743228545332589754294821236888478810998597
74,14166761694453784.3460128407496657488166545429335352983069923536066988134585066553950090339672344317546227477505469572228
