n,c_n
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,-1.599509864305274975e+00
2.000000000000000000e+00,6.018681066117680167e+00
3.000000000000000000e+00,-3.799045699135162835e+01
4.000000000000000000e+00,3.357767024681191970e+02
5.000000000000000000e+00,-3.815436601285729012e+03
6.000000000000000000e+00,5.298969562559506448e+04
7.000000000000000000e+00,-8.697391553162180353e+05
8.000000000000000000e+00,1.647155247661213577e+07
9.000000000000000000e+00,-3.535393097053400278e+08
1.000000000000000000e+01,8.480970729945839882e+09
1.100000000000000000e+01,-2.248635759627349854e+11
1.200000000000000000e+01,6.529819894147269531e+12
1.300000000000000000e+01,-2.061082923929000938e+14
1.400000000000000000e+01,7.026086353421540000e+15
1.500000000000000000e+01,-2.572561316271359360e+17
1.600000000000000000e+01,1.006889199739651891e+19
1.700000000000000000e+01,-4.195173012055633428e+20
1.800000000000000000e+01,1.853839682799891854e+22
1.900000000000000000e+01,-8.660204594113858429e+23
2.000000000000000000e+01,4.264292759950049511e+25
2.100000000000000000e+01,-2.207420764666737358e+27
2.200000000000000000e+01,1.198416646477720174e+29
2.300000000000000000e+01,-6.808863072071400059e+30
2.400000000000000000e+01,4.040421861095544932e+32
2.500000000000000000e+01,-2.499637584375386558e+34
2.600000000000000000e+01,1.609538894847895112e+36
2.700000000000000000e+01,-1.077039421138317953e+38
2.800000000000000000e+01,7.479086268293461055e+39
2.900000000000000000e+01,-5.382420850261784801e+41
3.000000000000000000e+01,4.009441835388108902e+43
