n,c_n
0,1.0
1,-1.59950986430527506053077076128521613088927337701932642172215872390989149786117633518066771692016747608523228749354144956
2,6.01868106611767996741992414618702010310251489626111289540286493127163128821449772987619958792435607042452742221205587098
3,-37.990456991351628529894914136928282398644530433246428985226390936022564546387696573611917924919190032622246496969887955
4,335.776702468119221376045796519013115151348478381282231301457560018155387130315293769014863104952408005910514960624104851
5,-3815.43660128572908638664421682510459605475517234144353677608736991059757055126567346765183862225711122221089608902457873
6,52989.6956255950634568118721240175488132801574591051083553945449634996217653674082248243959927774093749666838579383896916
7,-869739.15531621807725180666634087737176178628149272067960045409094323908424231513540311068582981806709044572123680019049
8,16471552.476612135501089751968696313517739587955371971733445880144818234786157283927031164621066292912774079662318108757
9,-353539309.705340023131035101335164181589721196997728320073453174007286733755211272346606632309334890147793624966349012986
10,8480970729.94583959853834003423573357170005942539426081591225821530275313995902141711850802818929757200967177669793080986
11,-224863575962.734972696642962841808388497041190674467634744309900526803863656916448418434420300228434776649812629449587593
12,6529819894147.26947542056910680689444843936828909953698460327540555975466926726022486098269940203485827207789059486368903
13,-206108292392900.09120760606182286381545785478416717672446608016232652883074583119271733657330817699744072031342510001936
14,7026086353421540.34092639323055932082972280953242587862361504850337591537937559690677831272905760812226143669880899688712
15,-257256131627135943.649378116205279979186762681025472223238064040414585431118995754062256990265644413275832008473081180327
16,10068891997396518221.732051866116894364052975913523490593083574882031266053462270158025622593106241563511221941360868424
17,-419517301205563328752.682133734058084505132383018788367070048642393178499710238955394838207792017893482059903440757913658
18,18538396827998918332004.265762779950517634800218884600924633039629702855195625139212808201873078397938125533136284969447
19,-866020459411385788640727.361239079657432455917399354023466554096945813739886116590923787156250613815638810858613157980657
20,42642927599500498798643764.0492402424831860835254065734199148621948250507426748034717115780674224443719181865627900145211
21,-2207420764666737377275167818.66922938001252346631375480121742703784226820099240054956065007238463987824387097491959262033
22,119841664647772022578057849818.668263528704366024229209255241946220012200138883505119255027494212201651376548925900011841
23,-6808863072071399795279053604345.77463219493862999421378934685966502512815004289148048589668103262088530568803549789681567
24,404042186109554460380327598137676.527228199152470402123021125979700128572932402416937944221642751923593718198079877558854
25,-24996375843753867070261870233168436.0542565962234254326209489860090785313965417221009539076193171312486747667382929666925
26,1609538894847895213350080723153837933.65461223139664139249333279880155729865067378926247462347197231925203786247103649032
27,-107703942113831796090326311973548142368.718751394952089102306073585085384390992655163635618960326937776077761696603417695
28,7479086268293460933371208017092777096476.06767431628846789677228169855542830640010998601269267544815011040541718392525259
29,-538242085026178441629681653919609476470090.926215858324526622242448481379405663487773939477265758308010129524115109295498
30,40094418353881090419087590718849626124493227.5944130021637601243730410327277801758912329884315820968220952764555144887779
31,-3087933978929770760619424238262456112999258492.7209845476856051625795972591335620013319743043191600920507770594080167571
32,245619481170386285623994172428772977876313680949.861454536985406310250665596125592807364953243235604105814225382666442383
33,-20157209988038370695041381373114038719625275721126.1225466737334384047491954323124693779587191432845915411093818668282595
34,1705137778529931840023388873896059368569947001692433.59207395034219574173231598520864864547940155819334161872918217096807
35,-148546635988098371594901505811578494587097063357859462.663818159708699225287012617220911841677870723750933177722571061321
36,13316050198124763675127419030142469062293547145755046101.5190639484153149593274405330179184652639891772351922774399478161
37,-1227305096274402915028888839451940761548733541048638667527.2159467838226276060612482347182152104972026801122016656180167
38,116216570321468923516094947202805845193601532932060033341160.841406005681700920396640133846855200738373579700570284402371
39,-11298298218733143987601321266352616906446587630032145454119103.1530503308581370309241993321550321634539570563331057207801
40,1126923353195664766193683846410603155808397912268973183052518480.79553652383882930269504997656352550910479126513662878204
41,-115248067430684482710012115941147632609042820227036984764629567059.873156653858735794996999394179184812431717884497524204
42,12077192752492095682730798855287664325127646418705858124837840566089.0638749550466805703342138122332446078449923850583201
43,-1296101989425566569639275573049217330857123178870916962629957148266051.4589741396426131063271629545382665914839447376648
44,142368098207966251055572439592316925798150712349682426225839342069989822.483608544826121743331576455700313286166223420864
45,-15997677742298298299728903455910337902346858306104929283159159325259300065.4288124811807859554188340789174867218621564892
46,1838029977305786449848899376554508387689541440647783428935673817548394134355.75367282578947570864061345078708334296126581
47,-215819057984120591030920767491226518308295242319379500783943317014204630402155.715326785164775372198868053431964159182457
48,25886161221372526848684011699609414595152045426782556436039503278144419644808116.8335170226859836057138567155806253219352
49,-3170250938164421892533299620544869497311476010975224049655704671061905743399581852.51021855554401857347903825236731736778
50,396262603094868130544129540681444762489075752217046125738736551665837209225782686948.140696175130433449471720529453477719
51,-50531095733050001574057598252081387146214095897447487132142264395140065709888672136781.7973795216720045550015917330168935
52,6571283351643396966247419531588652730402328263226147494702355303315225349654875124766829.69416443925600182164195952126266
53,-871151617050681127524602884739072386725413764755048252224541399729870919538189604729991088.550415378247226119408579953099
54,117687890554059541022780632502532089881185894290790978354553868030287107873609424238556793805.020767908902342239472205636
55,-16196177597661772238751820255872913818871072565819351016797384012025639075949446636413850324295.3038473582717086378162724
56,2269811347869847369145069906833235237683132374717557665348345546426440587092754866323865911089011.99531947262087947179837
57,-323834011876856072620218732088037697959121848160059157735720101250227096573419381125818829488819919.095334080083770381405
58,47019126243579034035574469970974865787444500117400515403740919668598180834754323550222832095454171864.1057930313395417868
59,-6945678388104674589806882187049199408561489974220459399006758052155561159729193771431031650793551057096.33883245384111082
