axis,value,delta_real,delta_imag,pade_real,pade_imag,pade_rel_gap,fit_real,fit_imag,fit_rel_gap,error
xstar,-0.15,2.2311829614851026,2.482246047280824,2.313571030070365,2.542975190772129,0.030665982050256498,2.5723994488201942,2.5149714416781888,0.1027025152808577,
xstar,-0.35,3.2721394764798903,2.482246047280824,3.337875347350929,2.507680315711726,0.01716160769517663,3.28049757843381,2.5270552889257143,0.011098304830773271,
T,0.5,6.126759901973098,2.482246047280824,6.259206578570538,2.48570382916147,0.020042624845019695,6.184204379764919,2.468396248983638,0.00893887996987271,
T,2.0,0.7327726512589434,2.482246047280824,0.8235309315604062,2.5468308171891025,0.04303943751815982,1.320186897013852,2.687992173519185,0.2404826127530232,
rho,-0.9,2.908283355320515,2.482246047280824,2.976518466701427,2.5087130843593046,0.01914138475149,2.8869131967372827,2.5328149147685837,0.014358047647705171,
rho,0.0,2.186914137182546,2.482246047280824,2.2265508212125416,2.517681819418441,0.016071400433865186,2.171561685409912,2.4266350285149705,0.017438910047029254,
xi,0.25,7.078800464175894,8.042477193189871,7.341649920196832,8.241645868572368,0.030780591108218448,8.090453837294696,8.140572801066543,0.09486592375876829,
xi,0.8,1.151565396584698,0.7853981633974483,1.1733543224741387,0.790949079099502,0.016130932210609298,1.1528682800188148,0.7925592888590485,0.005221816784028095,
kappa,0.75,3.0643862981184697,0.9308422677303091,3.1343860652067397,0.9087171846091671,0.022922658861301362,3.0691838737031056,0.9192633900155041,0.003913466372637302,
kappa,4.0,1.5317386891243296,4.964492094561648,1.616841326894589,5.07856045324578,0.02739271887165156,2.7063983938506158,5.583826990163604,0.25559641955218143,
