epsilon_radius,adjacent_order,reduced_jump_real,reduced_jump_imag,approx_real,approx_imag,relative_error
1.799999999999999933e-01,0.000000000000000000e+00,1.035474220993746641e+00,3.205039680855862466e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.614848752530031212e-02
1.799999999999999933e-01,1.000000000000000000e+00,1.035474220993746641e+00,3.205039680855862466e-02,1.037568776684646643e+00,3.339789631284906246e-02,2.404090467320340197e-03
1.799999999999999933e-01,2.000000000000000000e+00,1.035474220993746641e+00,3.205039680855862466e-02,1.037543886910580193e+00,3.318688053129786181e-02,2.279185003833806948e-03
1.799999999999999933e-01,4.000000000000000000e+00,1.035474220993746641e+00,3.205039680855862466e-02,1.036931548684468574e+00,3.379095375033901866e-02,2.191276961279918761e-03
1.799999999999999933e-01,9.000000000000000000e+00,1.035474220993746641e+00,3.205039680855862466e-02,1.036911423754503625e+00,3.363762033656449851e-02,2.066875909547437069e-03
2.000000000000000111e-01,0.000000000000000000e+00,1.036893606516979371e+00,3.627241674743770378e-02,1.000000000000000000e+00,0.000000000000000000e+00,4.986666700775638228e-02
2.000000000000000111e-01,1.000000000000000000e+00,1.036893606516979371e+00,3.627241674743770378e-02,1.041743085205163011e+00,3.710877368094340351e-02,4.743073318827707718e-03
2.000000000000000111e-01,2.000000000000000000e+00,1.036893606516979371e+00,3.627241674743770378e-02,1.041712357089031649e+00,3.684826037038636815e-02,4.677498957993740311e-03
2.000000000000000111e-01,4.000000000000000000e+00,1.036893606516979371e+00,3.627241674743770378e-02,1.040837480946383620e+00,3.768524370538565982e-02,4.037770099871509054e-03
2.000000000000000111e-01,9.000000000000000000e+00,1.036893606516979371e+00,3.627241674743770378e-02,1.040857426677572084e+00,3.739530019582266995e-02,3.970783276803492752e-03
2.250000000000000056e-01,0.000000000000000000e+00,1.038126764906109223e+00,4.421148711191006525e-02,1.000000000000000000e+00,0.000000000000000000e+00,5.618564896336208231e-02
2.250000000000000056e-01,1.000000000000000000e+00,1.038126764906109223e+00,4.421148711191006525e-02,1.046960970855808526e+00,4.174737039106133502e-02,8.826591343716872623e-03
2.250000000000000056e-01,2.000000000000000000e+00,1.038126764906109223e+00,4.421148711191006525e-02,1.046922080583829739e+00,4.141765823238758443e-02,8.881406497144642836e-03
2.250000000000000056e-01,4.000000000000000000e+00,1.038126764906109223e+00,4.421148711191006525e-02,1.045614282126136496e+00,4.262424102815153687e-02,7.366126990791036638e-03
2.250000000000000056e-01,9.000000000000000000e+00,1.038126764906109223e+00,4.421148711191006525e-02,1.045813243387135216e+00,4.203047290006834552e-02,7.689505208614625699e-03
2.500000000000000000e-01,0.000000000000000000e+00,1.040556435531698298e+00,5.531730980446011858e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.582539496987667438e-02
2.500000000000000000e-01,1.000000000000000000e+00,1.040556435531698298e+00,5.531730980446011858e-02,1.052178856506453819e+00,4.638596710117925959e-02,1.406658800176975241e-02
