n,n_c_nm1_over_c_n
1.000000000000000000e+00,-6.251915179243587861e-01
2.000000000000000000e+00,-5.315150767199667836e-01
3.000000000000000000e+00,-4.752783890560575708e-01
4.000000000000000000e+00,-4.525681110345490810e-01
5.000000000000000000e+00,-4.400239573565039586e-01
6.000000000000000000e+00,-4.320202133159034563e-01
7.000000000000000000e+00,-4.264817412345937586e-01
8.000000000000000000e+00,-4.224200027537929891e-01
9.000000000000000000e+00,-4.193139722229595190e-01
1.000000000000000000e+01,-4.168618439596922798e-01
1.100000000000000000e+01,-4.148767875365667046e-01
1.200000000000000000e+01,-4.132369583380675615e-01
1.300000000000000000e+01,-4.118595018103146654e-01
1.400000000000000000e+01,-4.106861129162499569e-01
1.500000000000000000e+01,-4.096745707662122205e-01
1.600000000000000000e+01,-4.087935501839190522e-01
1.700000000000000000e+01,-4.080193199752374933e-01
1.800000000000000000e+01,-4.073335732189765634e-01
1.900000000000000000e+01,-4.067219612471762447e-01
2.000000000000000000e+01,-4.061730787083812633e-01
2.100000000000000000e+01,-4.056777456855660269e-01
2.200000000000000000e+01,-4.052284901532454131e-01
2.300000000000000000e+01,-4.048191684460198947e-01
2.400000000000000000e+01,-4.044446826287710350e-01
2.500000000000000000e+01,-4.041007670823180686e-01
2.600000000000000000e+01,-4.037838253042142500e-01
2.700000000000000000e+01,-4.034908036603069292e-01
2.800000000000000000e+01,-4.032190926814110954e-01
2.900000000000000000e+01,-4.029664491396307557e-01
3.000000000000000000e+01,-4.027309339735644089e-01
