n_coeffs,epsilon_radius,stokes_real,stokes_imag,distance_to_minus_one,chain_poles
5.500000000000000000e+01,1.799999999999999933e-01,-9.987604730187764623e-01,1.999628267904019537e-03,2.352645393377838547e-03,4.000000000000000000e+00
5.500000000000000000e+01,2.000000000000000111e-01,-9.957681381081907590e-01,1.407724108612628394e-03,4.459858992985821745e-03,4.000000000000000000e+00
5.500000000000000000e+01,2.250000000000000056e-01,-9.920721939050897165e-01,-2.576192650769200832e-03,8.335878960995888459e-03,4.000000000000000000e+00
5.500000000000000000e+01,2.500000000000000000e-01,-9.902427638070446791e-01,-9.598838081308583292e-03,1.368726965600872147e-02,4.000000000000000000e+00
5.500000000000000000e+01,2.750000000000000222e-01,-9.910437795671398487e-01,-1.832149451444065741e-02,2.039340691705681524e-02,4.000000000000000000e+00
5.500000000000000000e+01,2.999999999999999889e-01,-9.940133081551398853e-01,-2.744720985874886734e-02,2.809252228397293022e-02,4.000000000000000000e+00
5.500000000000000000e+01,3.250000000000000111e-01,-9.977007916697662182e-01,-3.608882626774953528e-02,3.616199303591583619e-02,4.000000000000000000e+00
5.500000000000000000e+01,3.499999999999999778e-01,-9.998205658371227544e-01,-4.380983219904159565e-02,4.381019965632420438e-02,4.000000000000000000e+00
6.000000000000000000e+01,1.799999999999999933e-01,-9.987515787859884142e-01,2.056907767431637949e-03,2.406122418189641458e-03,4.000000000000000000e+00
6.000000000000000000e+01,2.000000000000000111e-01,-9.957133527348032143e-01,1.429750230407355986e-03,4.518797461445796249e-03,4.000000000000000000e+00
6.000000000000000000e+01,2.250000000000000056e-01,-9.920203309545925219e-01,-2.621130554237177147e-03,8.399133494390358112e-03,4.000000000000000000e+00
6.000000000000000000e+01,2.500000000000000000e-01,-9.902464298517409391e-01,-9.677312124365726465e-03,1.373981443067577059e-02,4.000000000000000000e+00
6.000000000000000000e+01,2.750000000000000222e-01,-9.911117949292735929e-01,-1.837971769548793141e-02,2.041602830976482416e-02,4.000000000000000000e+00
6.000000000000000000e+01,2.999999999999999889e-01,-9.941182109274888656e-01,-2.744575875259567047e-02,2.806893507419177397e-02,4.000000000000000000e+00
6.000000000000000000e+01,3.250000000000000111e-01,-9.977999519557030350e-01,-3.601618273685380095e-02,3.608331512391371731e-02,4.000000000000000000e+00
