axis,value,threshold,T,kappa,theta,xi,rho,p_star,rate,pole1,pole2,p1,delta_real,delta_imag,monodromy_pred,monodromy_rel_error,stokes_angle,lambda2_adj_abs,tau_max,selected_branch,intersection_below,intersection_above,wall_min_distance
xstar,-0.15,-0.15,1,2,0.04,0.45,-0.7,-2.02698765354983,0.14892666671794,-6.45309394919751,-20.8071831298781,-8.17646474541362,2.2311829614851,2.48224604728082,2.48224604728082,0,0.838613359591323,0.457994053472584,90,1,0,-1,0.00778888680225066
xstar,-0.2,-0.2,1,2,0.04,0.45,-0.7,-2.48712541940051,0.262260528889788,-6.45309394919751,-20.8071831298781,-8.0785712114385,2.52413716136877,2.48224604728082,2.48224604728082,0,0.777030818209485,0.568123396485433,90,1,0,-1,0.000642179070532272
xstar,-0.25,-0.25,1,2,0.04,0.45,-0.7,-2.84956107804022,0.396018751740672,-6.45309394919751,-20.8071831298781,-7.99832213980422,2.79224016246684,2.48224604728082,2.48224604728082,0,0.726693312478038,0.682102187388882,90,1,0,-1,7.96292752899505e-05
xstar,-0.3,-0.3,1,2,0.04,0.45,-0.7,-3.14183710364507,0.546052240203978,-6.45309394919751,-20.8071831298781,-7.93067195685806,3.04038666160546,2.48224604728082,2.48224604728082,0,0.684675930670907,0.799827356888744,90,1,0,-1,7.59784581659457e-05
xstar,-0.35,-0.35,1,2,0.04,0.45,-0.7,-3.38237023325048,0.709343205929551,-6.45309394919751,-20.8071831298781,-7.87244963406668,3.27213947647989,2.48224604728082,2.48224604728082,0,0.648982628611465,0.92117631336903,90,1,0,-1,7.30602768611924e-05
T,0.5,-0.25,0.5,2,0.04,0.45,-0.7,-5.32552109739984,0.800159903308436,-11.336487891856,-44.5325019372227,-15.3110858350751,6.1267599019731,2.48224604728082,2.48224604728082,0,0.384936629058382,0.190750077413202,125.819083931543,1,0,-1,0.0107181268840161
T,0.75,-0.25,0.75,2,0.04,0.45,-0.7,-3.68140351115317,0.531763736383017,-8.07086112726503,-28.602745629576,-10.3984577321588,3.94985959907224,2.48224604728082,2.48224604728082,0,0.561068524563152,0.384807492673771,90,1,0,-1,0.00166184805060485
T,1,-0.25,1,2,0.04,0.45,-0.7,-2.84956107804022,0.396018751740672,-6.45309394919751,-20.8071831298781,-7.99832213980422,2.79224016246684,2.48224604728082,2.48224604728082,0,0.726693312478038,0.682102187388882,90,1,0,-1,7.96292752899505e-05
T,1.5,-0.25,1.5,2,0.04,0.45,-0.7,-1.99403913368605,0.257123242097704,-4.86174275137031,-13.2888788029055,-5.68337053385146,1.50345709562597,2.48224604728082,2.48224604728082,0,1.02620778097248,1.76271405208,90,1,0,-1,9.71272063948562e-05
T,2,-0.25,2,2,0.04,0.45,-0.7,-1.54058839940136,0.184837137447706,-4.08859160325379,-9.74306358376096,-4.58946736359009,0.732772651258943,2.48224604728082,2.48224604728082,0,1.2837439524195,3.93754445943202,90,1,0,-1,0.000165874245136456
rho,-0.9,-0.25,1,2,0.04,0.45,-0.9,-2.61166956490017,0.367494038214778,-5.93874584971797,-24.0202453430876,-7.31880831321368,2.90828335532052,2.48224604728082,2.48224604728082,0,0.70652770109434,0.923241952750127,90,1,0,-1,7.90031987180354e-05
rho,-0.7,-0.25,1,2,0.04,0.45,-0.7,-2.84956107804022,0.396018751740672,-6.45309394919751,-20.8071831298781,-7.99832213980422,2.79224016246684,2.48224604728082,2.48224604728082,0,0.726693312478038,0.682102187388882,90,1,0,-1,7.96292752899505e-05
rho,-0.5,-0.25,1,2,0.04,0.45,-0.5,-3.14175877315302,0.430213237404113,-7.08336994974002,-19.997204225278,-8.84821309526603,2.65866222571546,2.48224604728082,2.48224604728082,0,0.751095474293395,0.470150989937531,90,1,0,-1,0.000499833467122984
