rho,p1_re,p1_im,p2_re,p2_im,d1_re,d1_im,d2_re,d2_im,dbar_re,dbar_im,cfu_zeta_re,cfu_zeta_im,local_zeta,monodromy
-2.505048432254106117e-02,-1.235479666758899420e+01,0.000000000000000000e+00,-1.386105995488598097e+01,0.000000000000000000e+00,2.219072819518022488e+00,2.482246047280824097e+00,2.239039121513785702e+00,2.482246047280824097e+00,2.229055970515903873e+00,2.482246047280824097e+00,6.075368139993156391e-02,0.000000000000000000e+00,6.012976697754935512e-02,2.482246047280824097e+00
-2.193283726371753062e-02,-1.239581282225660352e+01,0.000000000000000000e+00,-1.385881108793365080e+01,0.000000000000000000e+00,2.215166318043223281e+00,2.482246047280824097e+00,2.233442081405703217e+00,2.482246047280824097e+00,2.224304199724463249e+00,2.482246047280824097e+00,5.727404543050727825e-02,0.000000000000000000e+00,5.672134168363478918e-02,2.482246047280824097e+00
-1.881519020489400354e-02,-1.243762325052038165e+01,0.000000000000000000e+00,-1.385604455547997205e+01,0.000000000000000000e+00,2.211234413219619110e+00,2.482246047280824097e+00,2.227872373040385767e+00,2.482246047280824097e+00,2.219553393130002661e+00,2.482246047280824097e+00,5.379900245821377103e-02,0.000000000000000000e+00,5.331291638972023711e-02,2.482246047280824097e+00
-1.569754314607047299e-02,-1.248029406479126990e+01,0.000000000000000000e+00,-1.385269603927489079e+01,0.000000000000000000e+00,2.207276308637235562e+00,2.482246047280824097e+00,2.222330577791213013e+00,2.482246047280824097e+00,2.214803443214224288e+00,2.482246047280824097e+00,5.032849688487359141e-02,0.000000000000000000e+00,4.990449109580567116e-02,2.482246047280824097e+00
-1.257989608724694418e-02,-1.252390267268811286e+01,0.000000000000000000e+00,-1.384868995157725990e+01,0.000000000000000000e+00,2.203291130924851959e+00,2.482246047280824097e+00,2.216817354033497001e+00,2.482246047280824097e+00,2.210054242479174480e+00,2.482246047280824097e+00,4.686247337465617585e-02,0.000000000000000000e+00,4.649606580189110522e-02,2.482246047280824097e+00
-9.462249028423415365e-03,-1.256854073052807941e+01,0.000000000000000000e+00,-1.384393648157087675e+01,0.000000000000000000e+00,2.199277915876229450e+00,2.482246047280824097e+00,2.211333450991472827e+00,2.482246047280824097e+00,2.205305683433850916e+00,2.482246047280824097e+00,4.340087684836260035e-02,0.000000000000000000e+00,4.308764050797654621e-02,2.482246047280824097e+00
-6.344601969599884816e-03,-1.261431817344665340e+01,0.000000000000000000e+00,-1.383832756593461255e+01,0.000000000000000000e+00,2.195235590782183888e+00,2.482246047280824097e+00,2.205879726379416095e+00,2.482246047280824097e+00,2.200557658580799991e+00,2.482246047280824097e+00,3.994365247773198208e-02,0.000000000000000000e+00,3.967921521406198027e-02,2.482246047280824097e+00
-3.226954910776357738e-03,-1.266136884282716224e+01,0.000000000000000000e+00,-1.383173126135094932e+01,0.000000000000000000e+00,2.191162951520197133e+00,2.482246047280824097e+00,2.200457169285179315e+00,2.482246047280824097e+00,2.195810060402688002e+00,2.482246047280824097e+00,3.649074567982293210e-02,0.000000000000000000e+00,3.627078992014741432e-02,2.482246047280824097e+00
-1.093078519528271897e-04,-1.270985856382475099e+01,0.000000000000000000e+00,-1.382398366779133347e+01,0.000000000000000000e+00,2.187058632214172071e+00,2.482246047280824097e+00,2.195066930483539736e+00,2.482246047280824097e+00,2.191062781348855903e+00,2.482246047280824097e+00,3.304210211140359149e-02,0.000000000000000000e+00,3.286236462623285531e-02,2.482246047280824097e+00
3.008339206870703358e-03,-1.275999711510425350e+01,0.000000000000000000e+00,-1.381487695868785792e+01,0.000000000000000000e+00,2.182921064045566517e+00,2.482246047280824097e+00,2.189710363598110554e+00,2.482246047280824097e+00,2.186315713821838536e+00,2.482246047280824097e+00,2.959766766341469235e-02,0.000000000000000000e+00,2.945393933231829284e-02,2.482246047280824097e+00
6.125986265694230437e-03,-1.281205666730804360e+01,0.000000000000000000e+00,-1.380414094291826643e+01,0.000000000000000000e+00,2.178748417651222180e+00,2.482246047280824097e+00,2.184389082676498450e+00,2.482246047280824097e+00,2.181568750163860315e+00,2.482246047280824097e+00,2.615738845544302027e-02,0.000000000000000000e+00,2.604551403840373383e-02,2.482246047280824097e+00
9.243633324517760985e-03,-1.286640155414003317e+01,0.000000000000000000e+00,-1.379141329424979467e+01,0.000000000000000000e+00,2.174538519594844566e+00,2.482246047280824097e+00,2.179105045691729359e+00,2.482246047280824097e+00,2.176821782643286962e+00,2.482246047280824097e+00,2.272121083026005031e-02,0.000000000000000000e+00,2.263708874448917135e-02,2.482246047280824097e+00
1.236128038334129153e-02,-1.292353927293302540e+01,0.000000000000000000e+00,-1.377618855103195727e+01,0.000000000000000000e+00,2.170288725634073490e+00,2.482246047280824097e+00,2.173860681248011684e+00,2.482246047280824097e+00,2.172074703441042587e+00,2.482246047280824097e+00,1.928908134836631802e-02,0.000000000000000000e+00,1.922866345057460541e-02,2.482246047280824097e+00
1.547892744216482208e-02,-1.298421479500404629e+01,0.000000000000000000e+00,-1.375772380608612977e+01,0.000000000000000000e+00,2.165995716892698653e+00,2.482246047280824097e+00,2.168659092381261644e+00,2.482246047280824097e+00,2.167327404636980148e+00,2.482246047280824097e+00,1.586094678260736510e-02,0.000000000000000000e+00,1.582023815666004293e-02,2.482246047280824097e+00
1.859657450098834569e-02,-1.304960397875075451e+01,0.000000000000000000e+00,-1.373484529426230161e+01,0.000000000000000000e+00,2.161655145358810426e+00,2.482246047280824097e+00,2.163504411033596142e+00,2.482246047280824097e+00,2.162579778196203506e+00,2.482246047280824097e+00,1.243675411278612024e-02,0.000000000000000000e+00,1.241181286274548740e-02,2.482246047280824097e+00
2.171422155981187624e-02,-1.312177402596019071e+01,0.000000000000000000e+00,-1.370548793593207115e+01,0.000000000000000000e+00,2.157260944630187804e+00,2.482246047280824097e+00,2.158402487280483673e+00,2.482246047280824097e+00,2.157831715955335738e+00,2.482246047280824097e+00,9.016450520343530922e-03,0.000000000000000000e+00,9.003387568830923185e-03,2.482246047280824097e+00
2.483186861863540679e-02,-1.320507655696804328e+01,0.000000000000000000e+00,-1.366530226349297905e+01,0.000000000000000000e+00,2.152803733767354011e+00,2.482246047280824097e+00,2.153362485450113439e+00,2.482246047280824097e+00,2.153083109608733725e+00,2.482246047280824097e+00,5.599983383027887403e-03,0.000000000000000000e+00,5.594962274916359841e-03,2.482246047280824097e+00
2.794951567745893733e-02,-1.331302115089298965e+01,0.000000000000000000e+00,-1.360078087937425373e+01,0.000000000000000000e+00,2.148265652739841158e+00,2.482246047280824097e+00,2.148402048649430629e+00,2.482246047280824097e+00,2.148333850694635672e+00,2.482246047280824097e+00,2.187300269653755583e-03,0.000000000000000000e+00,2.186536981001796498e-03,2.482246047280824097e+00
3.004951567745893851e-02,-1.347161251736108767e+01,3.217664437682005857e-02,-1.347161251736108767e+01,-3.217664437682005857e-02,2.145134399196030550e+00,2.482246809338168880e+00,2.145134399196030550e+00,2.482245285223479314e+00,2.145134399196030550e+00,2.482246047280824097e+00,-1.093249468415045597e-04,1.338844462164031032e-20,-1.093268490500890687e-04,2.482246047280824097e+00
3.489497022291348366e-02,-1.350582621335363775e+01,2.263495009385030898e-01,-1.350582621335363775e+01,-2.263495009385030898e-01,2.137750615007804722e+00,2.482510745856874923e+00,2.137750615007804722e+00,2.481981348704773271e+00,2.137750615007804722e+00,2.482246047280824097e+00,-5.402091169592095933e-03,6.615653659543141561e-19,-5.406709625749891134e-03,2.482246047280824097e+00
3.974042476836803228e-02,-1.354041867851495518e+01,3.185910320534493523e-01,-1.354041867851495518e+01,-3.185910320534493523e-01,2.130364405816285167e+00,2.482982490001127029e+00,2.130364405816285167e+00,2.481509604560521165e+00,2.130364405816285167e+00,2.482246047280824097e+00,-1.068612266423935378e-02,1.308672591605671006e-18,-1.070409240244969695e-02,2.482246047280824097e+00
4.458587931382257397e-02,-1.357539427375582974e+01,3.896674961288958960e-01,-1.357539427375582974e+01,-3.896674961288958960e-01,2.122975361127795058e+00,2.483590433084697846e+00,2.122975361127795058e+00,2.480901661476950348e+00,2.122975361127795058e+00,2.482246047280824097e+00,-1.596161328565229298e-02,1.954733861950194822e-18,-1.600147517914949497e-02,2.482246047280824097e+00
4.943133385927711565e-02,-1.361075745506331280e+01,4.497361991498266542e-01,-1.361075745506331280e+01,-4.497361991498266542e-01,2.115583069062019650e+00,2.484308080025044330e+00,2.115583069062019650e+00,2.480184014536603865e+00,2.115583069062019650e+00,2.482246047280824097e+00,-2.122875594897418935e-02,2.599772802279157298e-18,-2.129885795584929298e-02,2.482246047280824097e+00
5.427678840473166427e-02,-1.364651277559032039e+01,5.027653354342476177e-01,-1.364651277559032039e+01,-5.027653354342476177e-01,2.108187116221309942e+00,2.485119977135753278e+00,2.108187116221309942e+00,2.479372117425894917e+00,2.108187116221309942e+00,2.482246047280824097e+00,-2.648774267590976381e-02,3.243812928469164046e-18,-2.659624073254910140e-02,2.482246047280824097e+00
5.912224295018621290e-02,-1.368266488781227785e+01,5.507983941213345780e-01,-1.368266488781227785e+01,-5.507983941213345780e-01,2.100787087558582122e+00,2.486015634264649776e+00,2.100787087558582122e+00,2.478476460296998418e+00,2.100787087558582122e+00,2.482246047280824097e+00,-3.173876464078690535e-02,3.886877652623087839e-18,-3.189362350924890982e-02,2.482246047280824097e+00
6.396769749564075458e-02,-1.371921854575302469e+01,5.950525012232845690e-01,-1.371921854575302469e+01,-5.950525012232845690e-01,2.093382566243711995e+00,2.486987315750660787e+00,2.093382566243711995e+00,2.477504778810987407e+00,2.093382566243711995e+00,2.482246047280824097e+00,-3.698201221634334068e-02,4.528990288677318700e-18,-3.719100628594870783e-02,2.482246047280824097e+00
6.881315204109529626e-02,-1.375617860728231001e+01,6.363222676098593267e-01,-1.375617860728231001e+01,-6.363222676098593267e-01,2.085973133528310264e+00,2.488029007564679151e+00,2.085973133528310264e+00,2.476463086996969043e+00,2.085973133528310264e+00,2.482246047280824097e+00,-4.221767501933370442e-02,5.170174057987019676e-18,-4.248838906264850585e-02,2.482246047280824097e+00
7.365860658654983795e-02,-1.379355003648724320e+01,6.751605723409546123e-01,-1.379355003648724320e+01,-6.751605723409546123e-01,2.078558368608773410e+00,2.489135858949919733e+00,2.078558368608773410e+00,2.475356235611728462e+00,2.078558368608773410e+00,2.482246047280824097e+00,-4.744594195594587643e-02,5.810452094888022615e-18,-4.778577183934830386e-02,2.482246047280824097e+00
7.850406113200439351e-02,-1.383133790612026992e+01,7.119705983261391813e-01,-1.383133790612026992e+01,-7.119705983261391813e-01,2.071137848487491162e+00,2.490303849958117155e+00,2.071137848487491162e+00,2.474188244603531039e+00,2.071137848487491162e+00,2.482246047280824097e+00,-5.266700126708461632e-02,6.449847452242477193e-18,-5.308315461604811575e-02,2.482246047280824097e+00
8.334951567745893519e-02,-1.386954740012624754e+01,7.470571871803878272e-01,-1.386954740012624754e+01,-7.470571871803878272e-01,2.063711147832101300e+00,2.491529579226477775e+00,2.063711147832101300e+00,2.472962515335170419e+00,2.063711147832101300e+00,2.482246047280824097e+00,-5.788104057350548781e-02,7.088383106966157379e-18,-5.838053739274791376e-02,2.482246047280824097e+00
8.819497022291347688e-02,-1.390818381625137690e+01,7.806575444445819079e-01,-1.390818381625137690e+01,-7.806575444445819079e-01,2.056277838832664795e+00,2.492810121171251225e+00,2.056277838832664795e+00,2.471681973390396969e+00,2.056277838832664795e+00,2.482246047280824097e+00,-6.308824692089401442e-02,7.726081965549071829e-18,-6.367792016944771871e-02,2.482246047280824097e+00
9.304042476836801856e-02,-1.394725256873683783e+01,8.129606188348342810e-01,-1.394725256873683783e+01,-8.129606188348342810e-01,2.048837491056647142e+00,2.494142925823393586e+00,2.048837491056647142e+00,2.470349168738254608e+00,2.048837491056647142e+00,2.482246047280824097e+00,-6.828880682485007070e-02,8.362966869564456297e-18,-6.897530294614752366e-02,2.482246047280824097e+00
9.788587931382257412e-02,-1.398675919110007371e+01,8.441198782209092810e-01,-1.398675919110007371e+01,-8.441198782209092810e-01,2.041389671301571340e+00,2.495525746178986815e+00,2.041389671301571340e+00,2.468966348382661380e+00,2.041389671301571340e+00,2.482246047280824097e+00,-7.348290631585011057e-02,8.999060601175065896e-18,-7.427268572284731474e-02,2.482246047280824097e+00
1.027313338592771158e-01,-1.402670933900687622e+01,8.742620404182617211e-01,-1.402670933900687622e+01,-8.742620404182617211e-01,2.033933943445220383e+00,2.496956584027655079e+00,2.033933943445220383e+00,2.467535510533993115e+00,2.033933943445220383e+00,2.482246047280824097e+00,-7.867073098420784838e-02,9.634385888639264747e-18,-7.957006849954711969e-02,2.482246047280824097e+00
1.075767884047316575e-01,-1.406710879323746433e+01,9.034932221894487192e-01,-1.406710879323746433e+01,-9.034932221894487192e-01,2.026469868293253818e+00,2.498433648608971325e+00,2.026469868293253818e+00,2.466058445952676870e+00,2.026469868293253818e+00,2.482246047280824097e+00,-8.385246602504262126e-02,1.026896541181806242e-17,-8.486745127624691076e-02,2.482246047280824097e+00
1.124222429501861992e-01,-1.410796346274993418e+01,9.319033825319142927e-01,-1.410796346274993418e+01,-9.319033825319142927e-01,2.018997003424098047e+00,2.499955324427556747e+00,2.018997003424098047e+00,2.464536770134091448e+00,2.018997003424098047e+00,2.482246047280824097e+00,-8.902829628331435097e-02,1.090282180769031170e-17,-9.016483405294671571e-02,2.482246047280824097e+00
1.172676974956407409e-01,-1.414927938784463457e+01,9.595696052773057261e-01,-1.414927938784463457e+01,-9.595696052773057261e-01,2.011514903030973578e+00,2.501520145765913750e+00,2.011514903030973578e+00,2.462971948795734445e+00,2.011514903030973578e+00,2.482246047280824097e+00,-9.419840629893097561e-02,1.153597767587676868e-17,-9.546221682964650679e-02,2.482246047280824097e+00
1.221131520410952964e-01,-1.419106274343312180e+01,9.865585714392185457e-01,-1.419106274343312180e+01,-9.865585714392185457e-01,2.004023117760909578e+00,2.503126776198175918e+00,2.004023117760909578e+00,2.461365318363472277e+00,2.004023117760909578e+00,2.482246047280824097e+00,-9.936298035196754197e-02,1.216845558417783935e-17,-1.007595996063463395e-01,2.482246047280824097e+00
1.269586065865498381e-01,-1.423331984241552561e+01,1.012928453170900189e+00,-1.423331984241552561e+01,-1.012928453170900189e+00,1.996521194550596068e+00,2.504773991906369179e+00,1.996521194550596068e+00,2.459718102655279015e+00,1.996521194550596068e+00,2.482246047280824097e+00,-1.045222025080305150e-01,1.280027807412910166e-17,-1.060569823830461444e-01,2.482246047280824097e+00
1.318040611320043798e-01,-1.427605713917037100e+01,1.038730386636075309e+00,-1.427605713917037100e+01,-1.038730386636075309e+00,1.989008676458919656e+00,2.506460667934753861e+00,1.989008676458919656e+00,2.458031426626894334e+00,1.989008676458919656e+00,2.482246047280824097e+00,-1.096762566637900227e-01,1.343146766657740123e-17,-1.113543651597459355e-01,2.482246047280824097e+00
1.366495156774589492e-01,-1.431928123316100532e+01,1.064009632904829417e+00,-1.431928123316100532e+01,-1.064009632904829417e+00,1.981485102496015616e+00,2.508185766746985568e+00,1.981485102496015616e+00,2.456306327814662627e+00,1.981485102496015616e+00,2.482246047280824097e+00,-1.148253265927107469e-01,1.406204686728126607e-17,-1.166517479364457682e-01,2.482246047280824097e+00
1.414949702229134909e-01,-1.436299887266303266e+01,1.088806504067905800e+00,-1.436299887266303266e+01,-1.088806504067905800e+00,1.973950007448678212e+00,2.509948328611427470e+00,1.973950007448678212e+00,2.454543765950220724e+00,1.973950007448678212e+00,2.482246047280824097e+00,-1.199695959910305199e-01,1.469203817254166789e-17,-1.219491307131455593e-01,2.482246047280824097e+00
1.463404247683680326e-01,-1.440721695861732066e+01,1.113157110156367535e+00,-1.440721695861732066e+01,-1.113157110156367535e+00,1.966402921701948303e+00,2.511747463454595319e+00,1.966402921701948303e+00,2.452744631107052875e+00,1.966402921701948303e+00,2.482246047280824097e+00,-1.251092485239831409e-01,1.532146407486266759e-17,-1.272465134898453643e-01,2.482246047280824097e+00
1.511858793138225743e-01,-1.445194254861334571e+01,1.137093967538674644e+00,-1.445194254861334571e+01,-1.137093967538674644e+00,1.958843371056702809e+00,2.513582343906011651e+00,1.958843371056702809e+00,2.450909750655636543e+00,1.958843371056702809e+00,2.482246047280824097e+00,-1.302444678723386762e-01,1.595034706865098461e-17,-1.325438962665451692e-01,2.482246047280824097e+00
1.560313338592771160e-01,-1.449718286100789122e+01,1.160646498987851993e+00,-1.449718286100789122e+01,-1.160646498987851993e+00,1.951270876543061084e+00,2.515452199319121895e+00,1.951270876543061084e+00,2.449039895242526299e+00,1.951270876543061084e+00,2.482246047280824097e+00,-1.353754377792663333e-01,1.657870965595501859e-17,-1.378412790432449742e-01,2.482246047280824097e+00
1.608767884047316576e-01,-1.454294527918429658e+01,1.183841448129383522e+00,-1.454294527918429658e+01,-1.183841448129383522e+00,1.943684954229411899e+00,2.517356310598840352e+00,1.943684954229411899e+00,2.447135783962807842e+00,1.943684954229411899e+00,2.482246047280824097e+00,-1.405023420975564930e-01,1.720657435224789619e-17,-1.431386618199447514e-01,2.482246047280824097e+00
1.657222429501862271e-01,-1.458923735595774751e+01,1.206703225559665693e+00,-1.458923735595774751e+01,-1.206703225559665693e+00,1.936085115026863868e+00,2.519294005701058659e+00,1.936085115026863868e+00,2.445198088860589536e+00,1.936085115026863868e+00,2.482246047280824097e+00,-1.456253648372594078e-01,1.783396369226152583e-17,-1.484360445966445841e-01,2.482246047280824097e+00
1.705676974956407688e-01,-1.463606681813227972e+01,1.229254199944439074e+00,-1.463606681813227972e+01,-1.229254199944439074e+00,1.928470864488911696e+00,2.521264655696049850e+00,1.928470864488911696e+00,2.443227438865598344e+00,1.928470864488911696e+00,2.482246047280824097e+00,-1.507446902137350719e-01,1.846090023587100083e-17,-1.537334273733443890e-01,2.482246047280824097e+00
1.754131520410953105e-01,-1.468344157121551596e+01,1.251514944447606581e+00,-1.468344157121551596e+01,-1.251514944447606581e+00,1.920841702606098655e+00,2.523267671308344173e+00,1.920841702606098655e+00,2.441224423253304021e+00,1.920841702606098655e+00,2.482246047280824097e+00,-1.558605026961952245e-01,1.908740657403928880e-17,-1.590308101500441940e-01,2.482246047280824097e+00
