rho,p1,lambda2,delta_real,delta_imag
-0.3,-9.956337838253924,-0.2866251234439345,2.500936011031064,2.482246047280824
-0.27499999999999997,-10.120441857539136,-0.265568755395088,2.479016793168009,2.482246047280824
-0.25,-10.291784789454052,-0.24489727073588086,2.4565126950321576,2.482246047280824
-0.22499999999999998,-10.471036493210002,-0.22459250918132354,2.433386300534782,2.482246047280824
-0.2,-10.658992981887362,-0.20463074077674367,2.4095954007517655,2.482246047280824
-0.175,-10.85662001103408,-0.18498029451023595,2.3850918534541434,2.482246047280824
-0.15,-11.065120512958401,-0.1655977709592047,2.3598199881176125,2.482246047280824
-0.125,-11.286044747485594,-0.14642167082583787,2.333714281011148,2.482246047280824
-0.1,-11.521482952631052,-0.1273609445994773,2.30669578449813,2.482246047280824
-0.07500000000000001,-11.77443370023264,-0.10827254428580124,2.278666256069441,2.482246047280824
-0.05000000000000002,-12.049600019212116,-0.08891176823042178,2.249497562890328,2.482246047280824
-0.025000000000000022,-12.355454829978587,-0.06880059333163688,2.2190097596295146,2.482246047280824
0.0,-12.711587197598181,-0.04674920675365721,2.186914137182546,2.482246047280824
0.005,-12.79301241182691,-0.04184162587881114,2.1802596082961543,2.482246047280824
0.01,-12.879983634096815,-0.03662835109054485,2.1735112632974753,2.482246047280824
0.015,-12.974623863871622,-0.030968778508629776,2.1666581694610856,2.482246047280824
0.02,-13.081073471002709,-0.02458615871917209,2.159684164825752,2.482246047280824
0.025,-13.210052894265756,-0.01675733445148295,2.152561294651985,2.482246047280824
0.027,-13.275554954691483,-0.012704597150545472,2.1496581994055433,2.482246047280824
0.028,-13.315201089783162,-0.010213855009525433,2.1481913083201034,2.482246047280824
0.029,-13.36510800424949,-0.00702615198227534,2.1467111294740002,2.482246047280824
0.0295,-13.39953820666484,-0.004785361668928306,2.1459643842565446,2.482246047280824
0.0299,-13.447921116329404,-0.0015650493276217516,2.1453619401498334,2.482246047280824
