rho,p_real,p_imag,branch
-1.000000000000000056e-01,-1.152148295261907940e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,-1.384138330763910396e+01,0.000000000000000000e+00,1.000000000000000000e+00
-9.078932031465049290e-02,-1.161243902429056618e+01,0.000000000000000000e+00,0.000000000000000000e+00
-9.078932031465049290e-02,-1.384742272856419909e+01,0.000000000000000000e+00,1.000000000000000000e+00
-8.157864062930098026e-02,-1.170595156604903941e+01,0.000000000000000000e+00,0.000000000000000000e+00
-8.157864062930098026e-02,-1.385302606296313677e+01,0.000000000000000000e+00,1.000000000000000000e+00
-7.236796094395146761e-02,-1.180225244943896001e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.236796094395146761e-02,-1.385799543593546268e+01,0.000000000000000000e+00,1.000000000000000000e+00
-6.315728125860195497e-02,-1.190162242678884397e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.315728125860195497e-02,-1.386208564908597829e+01,0.000000000000000000e+00,1.000000000000000000e+00
-5.394660157325244232e-02,-1.200440827613294736e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.394660157325244232e-02,-1.386498708302699434e+01,0.000000000000000000e+00,1.000000000000000000e+00
-4.473592188790292967e-02,-1.211104868651130140e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.473592188790292967e-02,-1.386629986117722346e+01,0.000000000000000000e+00,1.000000000000000000e+00
-3.552524220255341703e-02,-1.222211505710109947e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.552524220255341703e-02,-1.386549310411309577e+01,0.000000000000000000e+00,1.000000000000000000e+00
-2.631456251720390438e-02,-1.233837931220209860e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.631456251720390438e-02,-1.386183717122256986e+01,0.000000000000000000e+00,1.000000000000000000e+00
-1.710388283185439173e-02,-1.246093450894770527e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.710388283185439173e-02,-1.385428311322795203e+01,0.000000000000000000e+00,1.000000000000000000e+00
-7.893203146504879086e-03,-1.259142939052236621e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.893203146504879086e-03,-1.384122818329487714e+01,0.000000000000000000e+00,1.000000000000000000e+00
