n_coeffs,w_real,w_imag,zeta_real,zeta_imag,distance_to_adjacent_sheet_action
2.400000000000000000e+01,5.433829908779647111e-01,1.174535494625746912e-01,2.987693734931791578e+00,2.601505845407905859e+00,2.289650594274685036e-01
2.500000000000000000e+01,5.413925620270219063e-01,1.161776638300293929e-01,2.978100134932414988e+00,2.547358664717133792e+00,1.969354775410244174e-01
2.600000000000000000e+01,5.412697217761376356e-01,1.164918463883942990e-01,2.970853359699679785e+00,2.550232640942819540e+00,1.911147590938450658e-01
2.700000000000000000e+01,5.413677165439356731e-01,1.154170607942654886e-01,2.990536209225988618e+00,2.534895136228422885e+00,2.051663927823424716e-01
2.800000000000000000e+01,5.372477866074252262e-01,1.160420945574603679e-01,2.915591108561046862e+00,2.476388993415489015e+00,1.234899225941827466e-01
2.900000000000000000e+01,5.409603421383434307e-01,1.177236899104830287e-01,2.945152952373031319e+00,2.564249214202849014e+00,1.735132291847983066e-01
3.000000000000000000e+01,5.408653396301105198e-01,1.148076170104872645e-01,2.992767468095692163e+00,2.516772828509140858e+00,2.034780059975891675e-01
3.100000000000000000e+01,5.382888700123172887e-01,1.176861328044801341e-01,2.904558293546200431e+00,2.518842190894625688e+00,1.181297604186272582e-01
3.200000000000000000e+01,5.391550601229093687e-01,1.183051377043209396e-01,2.907504330863892150e+00,2.542773477719747266e+00,1.301898550264288801e-01
3.300000000000000000e+01,5.387230981510929828e-01,1.180719422837491345e-01,2.904790280215796106e+00,2.531978722532262971e+00,1.230482344163005698e-01
3.400000000000000000e+01,5.388800652212522024e-01,1.183031416461211432e-01,2.903329785715112354e+00,2.538138484404455664e+00,1.243578261351576397e-01
3.500000000000000000e+01,5.388792187677438061e-01,1.182982302092026455e-01,2.903398984350576750e+00,2.538049223456464443e+00,1.243795728963150854e-01
3.600000000000000000e+01,5.388507158490004612e-01,1.185278989863128990e-01,2.899120902744932948e+00,2.541080581417150430e+00,1.220040780032848188e-01
3.700000000000000000e+01,5.388028430853271100e-01,1.186563613598158456e-01,2.896240462890672163e+00,2.542237970508103295e+00,1.200628724492089072e-01
3.800000000000000000e+01,5.387406478380954988e-01,1.187476840967477409e-01,2.893764460285914719e+00,2.542587478523043565e+00,1.181028000176777421e-01
3.900000000000000000e+01,5.388501887729935103e-01,1.184543384086956391e-01,2.900343933595445289e+00,2.539948967072042763e+00,1.225400027936085212e-01
4.000000000000000000e+01,5.383863883553008378e-01,1.183294140324553656e-01,2.895352581292269356e+00,2.530299002274406739e+00,1.137596475014138603e-01
4.100000000000000000e+01,5.385878606031605509e-01,1.184496097424781319e-01,2.896420198215331698e+00,2.535492096198707301e+00,1.169983827833638024e-01
4.200000000000000000e+01,5.383955739206987001e-01,1.183156981102437277e-01,2.895721176190955592e+00,2.530242856394296691e+00,1.140702147207833805e-01
4.300000000000000000e+01,5.382438222473825418e-01,1.185013401388820553e-01,2.890317200998911762e+00,2.530543108413306541e+00,1.093238839469955065e-01
4.400000000000000000e+01,5.384712368952033756e-01,1.182340646760582648e-01,2.898236016238501911e+00,2.530257794337052335e+00,1.163625750496037892e-01
4.500000000000000000e+01,5.382888634738349776e-01,1.184347392219819994e-01,2.892111993869854736e+00,2.530279488050016123e+00,1.108223539721097245e-01
