n_coeffs,w_real,w_imag,zeta_real,zeta_imag,absolute_gap,relative_gap
4.500000000000000000e+01,5.382888634738349776e-01,1.184347392219819994e-01,2.892111993869854736e+00,2.530279488050016123e+00,1.108223539721097245e-01,2.966288796175249251e-02
4.600000000000000000e+01,5.386722552415437182e-01,1.170605833203282875e-01,2.920839927649100609e+00,2.515580719271869548e+00,1.328499151737893846e-01,3.555882011421795247e-02
4.700000000000000000e+01,5.382232914146605207e-01,1.185392168450223188e-01,2.889374088979264066e+00,2.530777358432189761e+00,1.085830918780247983e-01,2.906352349932141491e-02
4.800000000000000000e+01,5.377747401949312112e-01,1.188746593298327520e-01,2.876989576683676386e+00,2.528403062390176093e+00,9.650354011072223570e-02,2.583029141338448118e-02
4.900000000000000000e+01,5.371170753841305601e-01,1.193711243019683760e-01,2.858840161229385224e+00,2.524971464547785427e+00,7.912661445940245841e-02,2.117915578740307489e-02
5.000000000000000000e+01,5.364168743863537703e-01,1.188896677277632569e-01,2.856270833883774785e+00,2.506185418256040798e+00,6.835949359666479430e-02,1.829721104995043687e-02
5.100000000000000000e+01,5.365604150855266541e-01,1.189859840017275933e-01,2.856842498756181570e+00,2.509993776215746042e+00,7.030930461245525620e-02,1.881910057525811031e-02
5.200000000000000000e+01,5.366648839010368377e-01,1.190390765400113071e-01,2.857537108644684132e+00,2.512512322324854441e+00,7.197040075748574461e-02,1.926371221792488528e-02
5.300000000000000000e+01,5.369205404967640760e-01,1.193574509273464535e-01,2.856117494579879512e+00,2.521512642464118770e+00,7.498119134268425856e-02,2.006958522642927553e-02
5.400000000000000000e+01,5.368523486872754935e-01,1.192974573041542530e-01,2.856086583641752163e+00,2.519485214845801124e+00,7.391292916517817890e-02,1.978365246873749206e-02
5.500000000000000000e+01,5.369218106078160746e-01,1.193372544290161180e-01,2.856470610808912625e+00,2.521230703612702850e+00,7.513557029488956984e-02,2.011090654292171931e-02
5.600000000000000000e+01,5.368489870326326185e-01,1.192917323493643128e-01,2.856130770994897095e+00,2.519343771692203138e+00,7.387997708843721534e-02,1.977483246333749597e-02
5.700000000000000000e+01,5.368396912563820900e-01,1.192688634055251162e-01,2.856369222404735009e+00,2.518847049573496477e+00,7.383880888358287931e-02,1.976381331598670021e-02
5.800000000000000000e+01,5.368486847003234308e-01,1.193144630185169058e-01,2.855750550635602902e+00,2.519679744848640546e+00,7.372144273510675139e-02,1.973239890555443174e-02
5.900000000000000000e+01,5.368473756856541046e-01,1.192916641004291844e-01,2.856107725637282435e+00,2.519316117532479637e+00,7.384616262063364855e-02,1.976578162897066684e-02
6.000000000000000000e+01,5.368066249989678074e-01,1.192622827905797933e-01,2.855981833391166180e+00,2.518202016339722071e+00,7.318355227227943405e-02,1.958842628664978977e-02
