label,axis,value,n_terms,pade_real,pade_imag,pade_rel_gap,fit_real,fit_imag,fit_rel_gap,stokes_real,stokes_imag,stokes_distance_minus_one,chain_poles,error
baseline,xstar,-0.25,32,2.9017023321048345,2.5393650962972685,0.033047864290308086,2.910751518771234,2.554281313905713,0.037121122984865654,-0.993080919732978,0.004370803215795683,0.008183983901053547,3,
xstar_-0.15,xstar,-0.15,32,2.3700204049498654,2.5755717483092164,0.05012212952611109,3.9588327898204017,0.003327525896376704,0.9053024585640603,-1.0026937382921246,-0.03134105060530016,0.031456599928003086,3,
xstar_-0.35,xstar,-0.35,32,3.384932943679957,2.5226148506910206,0.029168817489973922,3.2902771454595157,2.5632018290325056,0.02019972777312217,-0.9940200124272041,0.0016042674827430176,0.006191439697435526,3,
T_0.5,T,0.5,32,6.350102043585317,2.466671917977684,0.03386800322914135,6.1534827010872855,2.419557394637228,0.010308857226441016,-1.0721920725573444,-0.06607542866625847,0.09786550778264366,2,
T_2.0,T,2.0,32,0.8181370470041661,2.569700082259065,0.04721913047357013,1.0163605477852462,2.4625404633675863,0.10983602878885924,-0.5536472154654962,-0.24452220963636737,0.5089419606076481,3,
rho_-0.9,rho,-0.9,32,3.021626237571503,2.528383404054102,0.03200506058598395,3.0060477761813615,2.5967185544906437,0.03937122750553959,-0.9926003715845899,0.003084717219465769,0.008016856055225952,3,
rho_0.0,rho,0.0,32,2.2409641483828047,2.5400704119117363,0.023926096449337343,2.1658016654821597,2.4053137085224403,0.02411488789832636,1.719804230218292e-06,-2.3218353951711194e-06,1.0000017198069255,3,
xi_0.25,xi,0.25,32,7.490695429833454,8.377549693004259,0.04955846003629702,13.09601950506291,0.010852499780421842,0.9366796916448019,-0.41834878316686597,-0.14571158172426973,0.5996248853175242,3,
xi_0.8,xi,0.8,32,1.1841602641733906,0.7895632939316668,0.023574104846028666,1.1538653084907096,0.805178240485972,0.014286074483585865,-1.0546508192099315,-0.0815603577150876,0.09817741079764566,3,
kappa_0.75,kappa,0.75,32,3.1773128039070424,0.9189563349424754,0.03545517090402572,3.031901534976592,0.9266189052426921,0.01022847066687073,-0.974234756621674,0.009815331876572717,0.027571516211330038,2,
kappa_4.0,kappa,4.0,32,1.704436069187715,5.1488665929909905,0.04862414324367581,2.5091087100192104,5.011179922501802,0.18833591963480042,-1.159560681498782,-0.11722983969512762,0.19799607671694172,3,
