fluctuation_order,start_order,K_real,K_imag,S_real,S_imag,weighted_nrmse
0.000000000000000000e+00,3.000000000000000000e+01,2.801474805636619894e-02,4.281290329924005746e-03,-1.038187822021470419e+00,-1.586586991295584059e-01,7.862412436808124960e-02
0.000000000000000000e+00,3.500000000000000000e+01,2.713257162135228329e-02,3.396078045677063985e-03,-1.005495583281253102e+00,-1.258539560149709025e-01,4.084023504709963226e-02
0.000000000000000000e+00,4.000000000000000000e+01,2.719651097295602143e-02,2.676962660496903443e-03,-1.007865087231436529e+00,-9.920453428823627906e-02,1.536795206619649169e-02
0.000000000000000000e+00,4.500000000000000000e+01,2.711028403025375969e-02,2.635620200314498906e-03,-1.004669635976136455e+00,-9.767243988540881550e-02,1.664982157246969185e-02
0.000000000000000000e+00,5.000000000000000000e+01,2.684916704341951121e-02,2.255638191937739054e-03,-9.949930015367038916e-01,-8.359083212330131740e-02,8.423342091123007039e-03
1.000000000000000000e+00,3.000000000000000000e+01,2.709345466307353303e-02,2.204175832368953768e-03,-1.004045962901379818e+00,-8.168370824378951012e-02,6.254711181458572078e-02
1.000000000000000000e+00,3.500000000000000000e+01,2.634365822609312235e-02,1.589654151955023891e-03,-9.762595438230453615e-01,-5.891038457547501106e-02,3.068685376516808519e-02
1.000000000000000000e+00,4.000000000000000000e+01,2.635280757208496860e-02,1.051758829374817598e-03,-9.765986059330840074e-01,-3.897672776365945779e-02,1.035125994848745505e-02
1.000000000000000000e+00,4.500000000000000000e+01,2.631406327688448274e-02,1.019770247289359917e-03,-9.751627959315443128e-01,-3.779127514784307029e-02,1.118659080639090343e-02
1.000000000000000000e+00,5.000000000000000000e+01,2.613232779552897289e-02,7.842719307001441362e-04,-9.684279303103049408e-01,-2.906403320022465236e-02,5.956465282119491160e-03
2.000000000000000000e+00,3.000000000000000000e+01,2.706130185280672396e-02,2.003285398458465490e-03,-1.002854424216270024e+00,-7.423898656980382205e-02,6.014416101722108721e-02
2.000000000000000000e+00,3.500000000000000000e+01,2.633062003904972428e-02,1.422789019410806337e-03,-9.757763666414245307e-01,-5.272659351732062599e-02,2.876403376436943368e-02
2.000000000000000000e+00,4.000000000000000000e+01,2.633390155507647420e-02,9.207796552095332638e-04,-9.758979750874431369e-01,-3.412282069716608690e-02,9.789146562727075312e-03
2.000000000000000000e+00,4.500000000000000000e+01,2.629264524794532390e-02,8.929257086626579947e-04,-9.743690733975560736e-01,-3.309059195671765208e-02,1.060603884975459474e-02
2.000000000000000000e+00,5.000000000000000000e+01,2.611938727136074376e-02,6.710492095606027628e-04,-9.679483723797821515e-01,-2.486815572787690401e-02,5.636894002862242493e-03
3.000000000000000000e+00,3.000000000000000000e+01,2.714455170762848299e-02,1.993192284547043447e-03,-1.005939548711664688e+00,-7.386494972578042106e-02,6.174204054094546701e-02
3.000000000000000000e+00,3.500000000000000000e+01,2.638993591598788255e-02,1.399387031484956552e-03,-9.779745310141977344e-01,-5.185934820685674657e-02,2.854386225428715354e-02
3.000000000000000000e+00,4.000000000000000000e+01,2.638967934341621482e-02,9.077324299218150153e-04,-9.779650227894999270e-01,-3.363930857070947938e-02,1.011025817168716319e-02
3.000000000000000000e+00,4.500000000000000000e+01,2.633215026884294652e-02,8.859381880768751058e-04,-9.758330748414417721e-01,-3.283164410668922700e-02,1.095220112742378502e-02
3.000000000000000000e+00,5.000000000000000000e+01,2.615182779991663889e-02,6.568683447989112243e-04,-9.691505735068066674e-01,-2.434263249019866931e-02,5.667201883614765741e-03
