epsilon,exact_tail,optimal_tail,borel_pade_tail,n_opt,relerr_optimal,relerr_borel_pade
4.000000000000000083e-02,3.372069176725649600e-06,3.372228907252259561e-06,3.372069176725645788e-06,1.100000000000000000e+01,4.736869804226945859e-05,1.130358857686763904e-15
5.727272727272727376e-02,7.816521079391584555e-05,7.809026485670788795e-05,7.816521079391573713e-05,8.000000000000000000e+00,9.588144962028449791e-04,1.387064861046719827e-15
7.454545454545455363e-02,4.335787267128231120e-04,4.315296102537624482e-04,4.335787267128222988e-04,6.000000000000000000e+00,4.726053961632387460e-03,1.875441711656466743e-15
9.181818181818182656e-02,1.281843944830001955e-03,1.298533872875905172e-03,1.281843944829955551e-03,5.000000000000000000e+00,1.302024955004693098e-02,3.620085983909192914e-14
1.090909090909090995e-01,2.714927264431682939e-03,2.792728061860604277e-03,2.714927264430659019e-03,5.000000000000000000e+00,2.865667837521511385e-02,3.771447379492312741e-13
1.263636363636363724e-01,4.714718085777905299e-03,4.506528792391258607e-03,4.714718085765306002e-03,4.000000000000000000e+00,4.415731536836872695e-02,2.672332974483823833e-12
1.436363636363636453e-01,7.203663017851976748e-03,6.699744260973605238e-03,7.203663017750008835e-03,4.000000000000000000e+00,6.995312740609463398e-02,1.415500878191550900e-11
1.609090909090909183e-01,1.008416589754753019e-02,1.095537822109008720e-02,1.008416589694394010e-02,3.000000000000000000e+00,8.639408875199444671e-02,5.985523252042285490e-11
1.781818181818181912e-01,1.326025580763844254e-02,1.475883231195684701e-02,1.326025580483132169e-02,3.000000000000000000e+00,1.130126391268533453e-01,2.116943214316630665e-10
1.954545454545454641e-01,1.664707317514818596e-02,1.904522901972745957e-02,1.664707316437028656e-02,3.000000000000000000e+00,1.440587074585215344e-01,6.474350952201600732e-10
2.127272727272727371e-01,2.017370809339350674e-02,2.380001810076750463e-02,2.017370805798368930e-02,3.000000000000000000e+00,1.797542618633181932e-01,1.755245851451608745e-09
2.300000000000000100e-01,2.378288212958674236e-02,2.902251605225426509e-02,2.378288202733044865e-02,3.000000000000000000e+00,2.203111420271992027e-01,4.299575348064760417e-09
2.472727272727272829e-01,2.742935717335398538e-02,3.472371777590724240e-02,2.742935690836993678e-02,3.000000000000000000e+00,2.659326121444545166e-01,9.660600024919578113e-09
2.645454545454545281e-01,3.107799792744217471e-02,4.092396116485307739e-02,3.107799730113023143e-02,3.000000000000000000e+00,3.168145921239289842e-01,2.015290511128111208e-08
2.818181818181818010e-01,3.470190380924215862e-02,2.547716483709535490e-02,3.470190244123991241e-02,2.000000000000000000e+00,2.658280370683864247e-01,3.942153300074774539e-08
2.990909090909090740e-01,3.828077019564389560e-02,2.703320450886294649e-02,3.828076740476025336e-02,2.000000000000000000e+00,2.938176434094016409e-01,7.290562932724921579e-08
3.163636363636363469e-01,4.179951801173656389e-02,2.830413392352527577e-02,4.179951264668586158e-02,2.000000000000000000e+00,3.228598015035011315e-01,1.283519752740743437e-07
3.336363636363636198e-01,4.524717795709910090e-02,2.927807291267900749e-02,4.524716816758665716e-02,2.000000000000000000e+00,3.529304094845677753e-01,2.163563096248402880e-07
3.509090909090908927e-01,4.861599616598860640e-02,2.994708840247337425e-02,4.861597910612357187e-02,2.000000000000000000e+00,3.840075126667025218e-01,3.509105310993277197e-07
3.681818181818181657e-01,5.190072400264934827e-02,3.030633629857051869e-02,5.190069546064490780e-02,2.000000000000000000e+00,4.160710302032879504e-01,5.499346105270384007e-07
3.854545454545454386e-01,5.509805717571267247e-02,3.035338060682852418e-02,5.509801112634746256e-02,2.000000000000000000e+00,4.491025244315084430e-01,8.357711246161501622e-07
4.027272727272727115e-01,5.820619417437499638e-02,3.008765457853562059e-02,5.820612225356958797e-02,2.000000000000000000e+00,4.830850048639399041e-01,1.235621164183115801e-06
4.199999999999999845e-01,6.122448923917736541e-02,2.951003479880603270e-02,6.122438014289263014e-02,2.000000000000000000e+00,5.180027605698235282e-01,1.781906000212995323e-06
4.372727272727272574e-01,6.415317986637220082e-02,2.862250471739849131e-02,6.415301867845198125e-02,2.000000000000000000e+00,5.538412160236216852e-01,2.512547632951639897e-06
4.545454545454545303e-01,6.699317293077093616e-02,2.742788887173251700e-02,6.699294038617856217e-02,2.000000000000000000e+00,5.905868065082421348e-01,3.471168511667452352e-06
4.718181818181818032e-01,6.974587686631081307e-02,2.592964295200501576e-02,6.974554855759668159e-02,2.000000000000000000e+00,6.282268699308625193e-01,4.707213227253262244e-06
4.890909090909090762e-01,7.241307003599822822e-02,2.413168799406469056e-02,7.241261557202875732e-02,2.000000000000000000e+00,6.667495525038744653e-01,6.275993674138989906e-06
5.063636363636363491e-01,7.499679755538089798e-02,2.203827947591751810e-02,7.499617968247015987e-02,2.000000000000000000e+00,7.061437262085291655e-01,8.238657261089730720e-06
5.236363636363636775e-01,7.749929050962559018e-02,1.965390405710071980e-02,7.749846420614051046e-02,2.000000000000000000e+00,7.463989163273738736e-01,1.066207806092235237e-05
5.409090909090910060e-01,7.992290281573755095e-02,1.698319824205826722e-02,7.992181437176597292e-02,2.000000000000000000e+00,7.875052376261524323e-01,1.361867416261700318e-05
5.581818181818182234e-01,8.227006200557927806e-02,1.403088445739923695e-02,8.226864809916671628e-02,2.000000000000000000e+00,8.294533380022527380e-01,1.718615955906167356e-05
5.754545454545454408e-01,8.454323100453851880e-02,1.080172098019060653e-02,8.454141778527003714e-02,2.000000000000000000e+00,8.722343486066821416e-01,2.144724358103039307e-05
5.927272727272727693e-01,8.674487860448859555e-02,7.300462897282316774e-03,8.674258079395323617e-02,2.000000000000000000e+00,9.158398395994232777e-01,2.648929334302485862e-05
6.100000000000000977e-01,8.887745681697813149e-02,3.531831858978995171e-03,8.887457683415958543e-02,2.000000000000000000e+00,9.602617808219696682e-01,3.240397420998109289e-05
6.272727272727273151e-01,9.094338367376011978e-02,1.500510431784434218e-01,9.093981079192507699e-02,1.000000000000000000e+00,6.499390842627909004e-01,3.928688037229549363e-05
6.445454545454545325e-01,9.294503034046229517e-02,1.546982085988261035e-01,9.294063988088585582e-02,1.000000000000000000e+00,6.644053806014030839e-01,4.723716330348035937e-05
6.618181818181818610e-01,9.488471164379334855e-02,1.592912853072093182e-01,9.487936421076484383e-02,1.000000000000000000e+00,6.787876839970242715e-01,5.635716161081362854e-05
6.790909090909091894e-01,9.676467929739757112e-02,1.638311651280892345e-01,9.675822005838430329e-02,1.000000000000000000e+00,6.930884938353263358e-01,6.675203245820661457e-05
6.963636363636364068e-01,9.858711725734474463e-02,1.683187859291597477e-01,9.857937527185189897e-02,1.000000000000000000e+00,7.073101497611746780e-01,7.852938302918967099e-05
7.136363636363636243e-01,1.003541387537675855e-01,1.727551183988060846e-01,1.003449263541826703e-01,1.000000000000000000e+00,7.214548452524122135e-01,9.179890036741912096e-05
7.309090909090909527e-01,1.020677846369115599e-01,1.771411551767279047e-01,1.020568968643262991e-01,1.000000000000000000e+00,7.355246398937416163e-01,1.066719790577615488e-04
7.481818181818182811e-01,1.037300227489075244e-01,1.814779019344322231e-01,1.037172368464693711e-01,1.000000000000000000e+00,7.495214704977352094e-01,1.232613480583461126e-04
7.654545454545454986e-01,1.053427480908426944e-01,1.857663700735965595e-01,1.053278230565590640e-01,1.000000000000000000e+00,7.634471611980377936e-01,1.416806999449055418e-04
7.827272727272727160e-01,1.069077836012507360e-01,1.900075707683714088e-01,1.068904598013544760e-01,1.000000000000000000e+00,7.773034326206765821e-01,1.620443274820385527e-04
8.000000000000000444e-01,1.084268813993476827e-01,1.942025101251330654e-01,1.084068802423897165e-01,1.000000000000000000e+00,7.910919102234865719e-01,1.844667733668345399e-04
