offset,theta,intersection_number,n_intersections,min_distance_to_physical_saddle,end_real,end_imag,cross_real,cross_imag,cross_orientation
-0.05,0.676693312478038,0,0,1.32235565859466,-6.45300617216042,-5.30694225061504e-05,,,
-0.04,0.686693312478038,0,0,1.20363362413621,-6.45301349928207,-4.62709600697452e-05,,,
-0.03,0.696693312478038,0,0,1.06324249050321,-6.45302321027144,-3.51772872036784e-05,,,
-0.02,0.706693312478038,0,0,0.888627737193149,-6.45302547105044,-3.30655348959276e-05,,,
-0.01,0.716693312478038,0,0,0.64760683010672,-6.45301550292237,-4.78545427678591e-05,,,
0,0.726693312478038,0,0,7.96292752899505e-05,-2.84949825062486,6.52885507818016e-05,,,
0.01,0.736693312478038,-1,1,0.717529178843972,14.6137194199998,9.80403828759671,-1,1.05634122743531,-1
0.02,0.746693312478038,-1,1,1.02762696641026,16.5051503761424,10.9630590701889,-1,1.26870325008445,-1
0.03,0.756693312478038,-1,1,1.27057896774772,17.5597208726826,11.724133079663,-1,1.47100747596013,-1
0.04,0.766693312478038,-1,1,1.47864613771952,18.2573702715171,12.3307443951807,-1,1.66463114106192,-1
0.05,0.776693312478038,-1,1,1.66434550464571,18.7543132189137,12.8565091400753,-1,1.85076285187459,-1
