rho_distance,exact_saddle_separation,exact_action_separation
9.999999999999999547e-08,2.035017028701260628e-03,4.819799751064880956e-11
1.378459273398768692e-07,2.389268824290390232e-03,7.800454506143546221e-11
1.900149968419057343e-07,2.805188079086474041e-03,1.262440223089107325e-10
2.619279344815627284e-07,3.293509742146972803e-03,2.043157003004925615e-10
3.610569902482952331e-07,3.866837480228601815e-03,3.306683748055477316e-10
4.977023564332113875e-07,4.539968979704813064e-03,5.351599265568743892e-10
6.860624286177781432e-07,5.330277875900250352e-03,8.661129175921353469e-10
9.457091168586571365e-07,6.258162167118989060e-03,1.401733505729347354e-09
1.303621502071575732e-06,7.347570686384825162e-03,2.268592041030089991e-09
1.796989148532592009e-06,8.626621218206644709e-03,3.671532434345411685e-09
2.477076355991708990e-06,1.012832621242677755e-02,5.942078094986586968e-09
3.414548873833600514e-06,1.189144482329141349e-02,9.616773129617782336e-09
4.706816559609239474e-06,1.396148326071039968e-02,1.556397147820519917e-08
6.488154934780244596e-06,1.639186926597018326e-02,2.518903543159434495e-08
8.943657337095812295e-06,1.924533101403125279e-02,4.076643410207695486e-08
1.232846739442065846e-05,2.259551601384756844e-02,6.597722080586309591e-08
1.699429020663351152e-05,2.652889176124702264e-02,1.067789032032472348e-07
2.342593693016379369e-05,3.114697715274291137e-02,1.728132723074498859e-07
3.229169999943896723e-05,3.656896217614563627e-02,2.796848924962282019e-07
4.451279331803765550e-05,4.293478336768771081e-02,4.526487263980185097e-07
6.135907273413163110e-05,5.040873421188388215e-02,7.325784210617002644e-07
8.458098281751329293e-05,5.918370334331447130e-02,1.185625862099690835e-06
1.165914401179831100e-04,6.948614941355713004e-02,1.918855198073293618e-06
1.607165518295508696e-04,8.158194017917581864e-02,3.105547070353189046e-06
2.215412212581180406e-04,9.578320515841633187e-02,5.026155541004094373e-06
3.053855508833412538e-04,1.124563765444335089e-01,8.134602677571214753e-06
4.209615445771328155e-04,1.320316224303806629e-01,1.316559132519642480e-05
5.802783448666179456e-04,1.550139102885998432e-01,2.130832761153336402e-05
7.998900656338773889e-04,1.819959775358334642e-01,3.448777837894908145e-05
1.102615878672568014e-03,2.136735303665437402e-01,5.582009080769284462e-05
1.519911082952933243e-03,2.508630423022364386e-01,9.035016074260747117e-05
2.095135527038031412e-03,2.945225807002390672e-01,1.462464666306200714e-04
2.888058996272791466e-03,3.457761541139009465e-01,2.367373679290406079e-04
3.981071705534973415e-03,4.059421494781024209e-01,3.832505955617213772e-04
