g,exact,optimal_truncation,borel_pade,n_opt,relerr_optimal,relerr_borel_pade
5.000000000000000104e-03,9.963288385079803744e-01,9.963288385079799303e-01,9.963288385079801524e-01,5.100000000000000000e+01,4.457255402895834047e-16,2.228627701447917023e-16
8.550724637681160478e-03,9.938114958340469318e-01,9.938114958340571459e-01,9.938114958340467098e-01,3.100000000000000000e+01,1.027765513819036012e-14,2.234272856128339006e-16
1.210144927536231998e-02,9.913624174929552835e-01,9.913624174276577383e-01,9.913624174929549504e-01,2.200000000000000000e+01,6.586647223711974312e-11,3.359688661890531699e-16
1.565217391304347949e-02,9.889768946409722705e-01,9.889769026333393720e-01,9.889768946409720485e-01,1.700000000000000000e+01,8.081449773782650261e-09,2.245195071070290759e-16
1.920289855072463900e-02,9.866507857410439231e-01,9.866509610296935184e-01,9.866507857410437010e-01,1.500000000000000000e+01,1.776602746672107431e-07,2.250488299750962452e-16
2.275362318840579851e-02,9.843804169133203441e-01,9.843790214528098659e-01,9.843804169133203441e-01,1.200000000000000000e+01,1.417602876389918745e-06,0.000000000000000000e+00
2.630434782608695801e-02,9.821625052640967635e-01,9.821691792158457890e-01,9.821625052640963194e-01,1.100000000000000000e+01,6.795160386652043261e-06,4.521545136063304202e-16
2.985507246376811752e-02,9.799940986892767825e-01,9.799719445853333211e-01,9.799940986892763384e-01,1.000000000000000000e+01,2.260636464351375836e-05,4.531549837330891566e-16
3.340579710144927356e-02,9.778725278071183080e-01,9.779290368977049397e-01,9.778725278071178639e-01,9.000000000000000000e+00,5.778778826454349007e-05,4.541381388900798646e-16
3.695652173913043653e-02,9.757953670203485252e-01,9.756756334488205784e-01,9.757953670203474150e-01,8.000000000000000000e+00,1.227035663159179552e-04,1.137762139633119116e-15
4.050724637681159257e-02,9.737604025794682761e-01,9.735226039955712229e-01,9.737604025794659446e-01,8.000000000000000000e+00,2.442064631783447582e-04,2.394293653281468721e-15
4.405797101449274861e-02,9.717656061023378644e-01,9.721535428631984388e-01,9.717656061023329794e-01,7.000000000000000000e+00,3.992081613348643764e-04,5.026913154442559030e-15
4.760869565217391158e-02,9.698091124061696267e-01,9.704499448505863324e-01,9.698091124061591906e-01,7.000000000000000000e+00,6.607820407324818983e-04,1.076097996809261636e-14
5.115942028985507456e-02,9.678892007902879513e-01,9.669864557691181250e-01,9.678892007902666350e-01,6.000000000000000000e+00,9.326945898690975484e-04,2.202347340521840628e-14
5.471014492753623060e-02,9.660042791107208426e-01,9.646999881489560780e-01,9.660042791106793203e-01,6.000000000000000000e+00,1.350191702013434081e-03,4.298359957494730393e-14
5.826086956521738663e-02,9.641528701358802467e-01,9.623132566378629349e-01,9.641528701358039743e-01,6.000000000000000000e+00,1.908010186971751581e-03,7.910812087402595078e-14
6.181159420289854961e-02,9.623335997826656385e-01,9.597933049023716912e-01,9.623335997825308574e-01,6.000000000000000000e+00,2.639723772367139499e-03,1.400564993469344542e-13
6.536231884057971953e-02,9.605451869152006328e-01,9.634590086204631865e-01,9.605451869150257727e-01,5.000000000000000000e+00,3.033508204460758084e-03,1.820425824421930667e-13
6.891304347826088250e-02,9.587864344520744542e-01,9.624793331483114667e-01,9.587864344517444959e-01,5.000000000000000000e+00,3.851638449961407220e-03,3.441415846764253337e-13
7.246376811594203160e-02,9.570562215756175384e-01,9.616784254133372567e-01,9.570562215750588742e-01,5.000000000000000000e+00,4.829605339287285602e-03,5.837318784382808755e-13
7.601449275362319458e-02,9.553534968768655489e-01,9.610740707717481124e-01,9.553534968759757051e-01,5.000000000000000000e+00,5.987913284018556159e-03,9.314287927411584392e-13
7.956521739130435755e-02,9.536772722977916450e-01,9.606853131779741206e-01,9.536772722964337312e-01,5.000000000000000000e+00,7.348440697655811947e-03,1.423871388008722401e-12
8.311594202898550665e-02,9.520266177575391620e-01,9.447873624086550182e-01,9.520266177555243292e-01,4.000000000000000000e+00,7.604047212394041654e-03,2.116361777610370266e-12
8.666666666666666963e-02,9.504006563679819886e-01,9.420240624999999257e-01,9.504006563650618800e-01,4.000000000000000000e+00,8.813750087246111781e-03,3.072502717462834910e-12
9.021739130434783260e-02,9.487985601595142482e-01,9.391660279554358004e-01,9.487985601553691195e-01,4.000000000000000000e+00,1.015234698760398950e-02,4.368818481389343269e-12
9.376811594202899558e-02,9.472195462504405805e-01,9.362059877522618256e-01,9.472195462446639791e-01,4.000000000000000000e+00,1.162725003065637717e-02,6.098482070280087702e-12
9.731884057971015856e-02,9.456628734036198747e-01,9.331366708677768518e-01,9.456628733956968791e-01,4.000000000000000000e+00,1.324594936328508596e-02,8.378245372390061319e-12
1.008695652173913077e-01,9.441278389224350143e-01,9.299508062792799512e-01,9.441278389117289116e-01,4.000000000000000000e+00,1.501600954732548558e-02,1.133967480853498146e-11
1.044202898550724706e-01,9.426137758452037829e-01,9.266411229640700853e-01,9.426137758309325321e-01,4.000000000000000000e+00,1.694506625135163563e-02,1.514008304721109916e-11
1.079710144927536336e-01,9.411200504029074709e-01,9.232003498994461044e-01,9.411200503841166132e-01,4.000000000000000000e+00,1.904082321462567673e-02,1.996648328833661346e-11
1.115217391304347827e-01,9.396460597099998147e-01,9.196212160627073029e-01,9.396460596855428227e-01,4.000000000000000000e+00,2.131104945352798111e-02,2.602787691645639497e-11
1.150724637681159457e-01,9.381912296621981451e-01,9.158964504311525312e-01,9.381912296307031163e-01,4.000000000000000000e+00,2.376357668475860205e-02,3.356994588247361762e-11
1.186231884057971087e-01,9.367550130185303692e-01,9.120187819820806396e-01,9.367550129783718260e-01,4.000000000000000000e+00,2.640629694282768669e-02,4.286984601035374021e-11
1.221739130434782716e-01,9.353368876479219995e-01,9.573470285916823030e-01,9.353368875971883600e-01,3.000000000000000000e+00,2.353177901398594701e-02,5.424103355879611786e-11
1.257246376811594346e-01,9.339363549230597084e-01,9.575722053205732998e-01,9.339363548595165376e-01,3.000000000000000000e+00,2.530777421065355179e-02,6.803800964622032562e-11
1.292753623188405698e-01,9.325529382464075034e-01,9.578801197227472253e-01,9.325529381674618756e-01,3.000000000000000000e+00,2.715897450708320768e-02,8.465538477761297049e-11
1.328260869565217606e-01,9.311861816951003679e-01,9.582707717982040796e-01,9.311861815977598988e-01,3.000000000000000000e+00,2.908611686419124501e-02,1.045338418159859126e-10
1.363768115942028958e-01,9.298356487729875219e-01,9.587441615469437517e-01,9.298356486538204013e-01,3.000000000000000000e+00,3.108991660204031213e-02,1.281593373764748917e-10
1.399275362318840588e-01,9.285009212594922401e-01,9.593002889689664636e-01,9.285009211145797137e-01,3.000000000000000000e+00,3.317106855176354258e-02,1.560714944972186864e-10
1.434782608695652217e-01,9.271815981460911349e-01,9.599391540642721043e-01,9.271815979709854272e-01,3.000000000000000000e+00,3.533024812364700395e-02,1.888580490182665899e-10
1.470289855072463847e-01,9.258772946522968450e-01,9.606607568328606739e-01,9.258772944419682016e-01,3.000000000000000000e+00,3.756811229896978716e-02,2.271668660691734338e-10
1.505797101449275477e-01,9.245876413138578442e-01,9.614650972747321722e-01,9.245876410626465702e-01,3.000000000000000000e+00,3.988530055243947464e-02,2.717008780779099243e-10
1.541304347826087107e-01,9.233122831367261973e-01,9.623521753898864883e-01,9.233122828382891445e-01,3.000000000000000000e+00,4.228243571127621864e-02,3.232243936300485243e-10
1.576811594202898736e-01,9.220508788109910148e-01,9.633219911783237333e-01,9.220508784582475137e-01,3.000000000000000000e+00,4.476012475640488153e-02,3.825640310978859968e-10
1.612318840579710089e-01,9.208030999795957516e-01,9.643745446400440180e-01,9.208030995646702133e-01,3.000000000000000000e+00,4.731895957063325664e-02,4.506126645115508716e-10
